datetime,D11Z,D21Z,V22Z,D31Z,V32Z,V33Z,D41Z,V42Z,D51Z,D52Z,V53Z,V54Z,D81Z,D82Z,V83Z,V84Z,D111Z,D112Z,V113Z,V114Z,D121Z,D122Z,V123Z,V124Z,V221Z,V222Z,Total
2024-03-01 21:20:00,1577,14,25,22,37,20,26,9,13,10,24,11,4,17,7,6,5,33,5,37,20,8,15,9,0,0,1954
2024-03-01 21:30:00,30,8,21,12,24,13,22,15,17,8,22,13,10,15,11,10,4,29,5,29,18,7,23,12,0,0,378
2024-03-01 21:40:00,50,12,29,22,26,20,18,14,12,11,22,15,6,9,10,5,4,20,5,24,19,11,22,12,0,0,398
2024-03-01 21:50:00,75,9,29,25,26,19,24,12,13,6,29,9,8,9,10,5,5,22,5,26,20,12,23,13,0,0,434
2024-03-01 22:00:00,24,7,19,30,23,18,32,19,15,8,19,13,3,14,6,8,3,23,3,30,13,8,17,10,0,0,365
2024-03-01 22:10:00,23,8,20,38,26,17,19,16,13,6,17,12,10,19,12,7,2,18,0,26,17,7,22,10,0,0,365
2024-03-01 22:20:00,28,8,28,28,32,17,21,11,15,0,15,1,11,11,14,11,1,22,0,28,6,7,12,15,0,0,342
2024-03-01 22:30:00,842,7,19,18,25,20,12,14,15,3,19,4,9,14,12,7,0,17,0,30,17,12,19,16,0,0,1151
2024-03-01 22:40:00,263,1,17,18,28,19,17,9,15,7,18,9,8,12,10,5,5,25,5,28,7,6,7,7,0,0,546
2024-03-01 22:50:00,16,9,15,22,23,17,15,18,13,5,13,6,10,20,11,8,0,18,0,30,12,7,11,10,0,0,309
2024-03-01 23:00:00,715,5,17,22,21,15,20,15,7,4,15,4,6,6,7,5,2,132,2,41,13,6,21,8,0,0,1109
2024-03-01 23:10:00,584,12,24,23,20,12,14,13,12,4,15,5,8,10,7,3,4,14,4,26,7,6,8,6,0,0,841
2024-03-01 23:20:00,15,8,12,25,26,23,15,14,12,6,14,5,9,22,10,4,4,11,6,13,18,9,19,11,0,0,311
2024-03-01 23:30:00,34,7,13,19,21,13,16,12,6,0,11,0,3,4,2,5,3,21,2,35,13,6,15,5,0,0,266
2024-03-01 23:40:00,8,4,9,15,18,14,12,9,7,2,16,3,10,9,9,7,2,14,0,25,13,2,18,4,0,0,230
2024-03-01 23:50:00,19,8,23,12,19,13,10,8,4,4,17,5,7,19,5,9,2,12,1,24,11,15,10,5,0,0,262
2024-03-02 00:00:00,7,2,7,9,11,8,15,16,10,3,15,5,3,1,2,0,0,13,0,23,10,4,15,5,0,0,184
2024-03-02 00:10:00,12,4,11,10,16,10,7,5,6,2,12,1,6,3,6,3,1,19,0,25,10,2,19,3,0,0,193
2024-03-02 00:20:00,14,5,12,14,26,12,11,14,6,3,13,3,3,13,4,3,1,18,1,27,11,3,17,3,0,0,237
2024-03-02 00:30:00,6,1,6,7,10,9,12,16,10,5,18,8,1,1,1,1,1,10,0,15,8,3,7,3,0,0,159
2024-03-02 00:40:00,21,1,2,15,17,11,8,9,6,2,11,3,5,2,3,1,2,3,1,7,3,0,3,0,0,0,136
2024-03-02 00:50:00,1321,2,4,6,10,7,6,7,6,3,9,3,3,11,3,2,0,6,0,14,11,2,15,3,0,0,1454
2024-03-02 01:00:00,6,5,7,6,5,6,7,6,4,3,13,3,2,4,4,2,0,4,0,10,5,3,7,4,0,0,116
2024-03-02 01:10:00,2,1,2,4,8,6,5,3,7,1,12,0,1,4,1,3,0,7,0,10,4,1,6,2,0,0,90
2024-03-02 01:20:00,17,2,4,5,8,5,3,4,7,2,11,2,2,13,3,0,0,8,0,11,4,1,9,0,0,0,121
2024-03-02 01:30:00,966,2,3,6,7,5,7,7,1,0,6,1,3,4,4,2,0,5,0,7,4,1,7,2,0,0,1050
2024-03-02 01:40:00,313,3,7,4,10,4,4,4,11,0,14,0,3,1,3,0,1,2,1,3,6,3,8,4,0,0,409
2024-03-02 01:50:00,16,0,4,2,5,2,7,7,1,0,7,0,5,11,4,0,0,3,0,5,2,3,2,4,0,0,90
2024-03-02 02:00:00,8,4,7,7,9,6,7,7,4,1,10,1,2,6,5,3,0,4,0,10,4,1,6,1,0,0,113
2024-03-02 02:10:00,4,3,5,6,11,6,2,3,5,2,9,2,1,1,1,0,0,5,0,13,5,2,6,4,0,0,96
2024-03-02 02:20:00,1,1,2,6,9,6,2,2,3,1,4,1,0,6,0,1,0,2,0,1,1,2,1,3,0,0,55
2024-03-02 02:30:00,8,5,10,8,13,8,6,8,5,1,11,2,0,0,0,0,0,6,0,9,2,1,3,1,0,0,107
2024-03-02 02:40:00,2,1,2,1,2,0,2,2,0,3,3,2,1,3,1,2,0,6,0,10,5,1,4,1,0,0,54
2024-03-02 02:50:00,3,0,3,1,4,1,3,3,3,2,9,1,1,14,1,2,1,6,0,9,5,1,6,1,0,0,80
2024-03-02 03:00:00,3,2,4,7,3,3,5,5,5,1,7,1,0,1,0,1,1,4,0,7,4,4,4,4,0,0,76
2024-03-02 03:10:00,5,2,5,1,5,2,1,2,3,1,6,7,1,3,1,2,3,6,0,7,3,1,7,1,0,0,75
2024-03-02 03:20:00,7,2,3,7,7,9,1,1,2,0,4,0,1,3,2,0,0,3,0,7,5,0,4,0,0,0,68
2024-03-02 03:30:00,3,4,6,4,5,4,1,1,3,3,5,2,0,7,0,2,0,1,0,1,1,1,1,1,0,0,56
2024-03-02 03:40:00,4,4,7,1,3,0,4,4,3,0,5,0,3,1,3,0,1,6,0,12,2,2,2,2,0,0,69
2024-03-02 03:50:00,8,3,11,5,11,5,1,2,4,0,6,0,0,5,0,7,1,4,0,7,1,0,1,0,0,0,82
2024-03-02 04:00:00,13,3,6,10,7,5,5,6,3,2,7,3,1,5,2,0,1,4,0,5,8,1,4,2,0,0,103
2024-03-02 04:10:00,4,2,6,4,5,3,3,3,3,0,5,0,0,1,0,1,0,4,0,9,4,0,2,0,0,0,59
2024-03-02 04:20:00,3,1,2,1,3,1,2,3,3,1,5,1,2,3,3,2,0,6,0,9,2,0,3,0,0,0,56
2024-03-02 04:30:00,5,3,5,4,6,2,6,7,1,0,8,0,0,7,0,1,0,1,0,1,1,0,2,0,0,0,60
2024-03-02 04:40:00,266,1,1,4,4,5,7,9,4,2,10,0,1,8,1,1,2,4,1,6,2,2,3,2,0,0,346
2024-03-02 04:50:00,1636,2,5,6,11,11,13,10,3,1,11,1,1,6,1,0,0,3,0,4,2,1,2,1,0,0,1731
