datetime,D1Z,D2Z,D3Z,D4Z,D5Z,D6Z,V21Z,V22Z,V51Z,V52Z,V81Z,V82Z,V211Z,V212Z,V811Z,V812Z,V1111Z,V1112Z,Total
2024-03-02 07:50:00,12,4,14,6,0,7,8,14,12,12,15,3,9,12,3,3,0,0,134
2024-03-02 08:00:00,5,6,5,6,0,6,9,10,9,14,7,6,7,9,0,0,0,0,99
2024-03-02 08:10:00,5,5,6,6,0,9,14,12,15,19,6,4,13,15,6,4,0,0,139
2024-03-02 08:20:00,8,9,11,9,2,10,8,14,10,18,8,7,9,15,2,1,0,0,141
2024-03-02 08:30:00,8,12,14,15,0,7,6,15,6,22,16,10,7,19,3,2,0,0,162
2024-03-02 08:40:00,10,12,12,17,5,7,16,18,22,26,11,11,19,17,3,3,1,0,210
2024-03-02 08:50:00,9,10,11,12,2,13,16,18,18,28,14,9,15,25,5,3,0,0,208
2024-03-02 09:00:00,13,9,13,13,1,13,13,15,22,27,12,8,16,21,3,2,1,0,202
2024-03-02 09:10:00,18,14,20,14,2,13,19,20,39,40,18,14,21,22,4,3,2,0,283
2024-03-02 09:20:00,5,10,8,11,1,24,17,22,25,37,6,8,19,28,3,6,1,0,231
2024-03-02 09:30:00,7,14,10,14,3,16,23,22,32,36,11,9,20,25,7,5,0,0,254
2024-03-02 09:40:00,14,16,16,17,0,15,21,23,30,34,19,11,26,28,3,4,1,0,278
2024-03-02 09:50:00,14,22,20,25,1,15,27,27,42,36,12,17,30,28,9,12,0,0,337
2024-03-02 10:00:00,20,17,25,18,2,14,17,21,29,45,18,12,19,29,7,5,0,0,298
2024-03-02 10:10:00,21,18,24,21,0,11,23,26,37,42,21,18,26,29,7,6,1,0,331
2024-03-02 10:20:00,15,16,26,24,2,19,20,25,32,43,16,10,25,34,9,8,1,0,325
2024-03-02 10:30:00,19,24,22,27,2,10,19,26,33,39,23,23,26,26,4,6,0,0,329
2024-03-02 10:40:00,18,20,21,21,3,13,17,25,25,40,25,14,17,27,2,5,0,0,293
2024-03-02 10:50:00,12,18,14,20,2,20,28,25,40,41,10,12,29,31,6,6,1,0,315
2024-03-02 11:00:00,21,22,26,28,1,21,21,25,35,52,20,19,28,28,6,10,0,0,363
2024-03-02 11:10:00,16,18,19,20,6,12,23,26,36,43,19,16,29,25,3,6,3,0,320
2024-03-02 11:20:00,19,18,20,24,4,19,24,29,33,52,21,16,26,40,7,8,0,0,360
2024-03-02 11:30:00,19,24,24,25,3,18,24,21,34,49,34,17,28,27,9,5,2,0,363
2024-03-02 11:40:00,22,26,31,26,10,17,19,23,28,38,27,19,19,24,12,11,6,0,358
2024-03-02 11:50:00,14,21,19,22,18,18,15,27,41,49,16,18,18,24,9,6,2,0,337
2024-03-02 12:00:00,28,28,34,34,23,33,25,22,39,54,29,20,24,35,12,11,1,0,452
2024-03-02 12:10:00,22,36,27,39,28,30,24,20,53,52,24,22,26,33,6,13,5,0,460
2024-03-02 12:20:00,26,19,35,24,16,21,27,16,43,43,20,15,26,21,11,11,1,0,375
2024-03-02 12:30:00,18,27,26,32,1,23,27,22,47,43,16,19,28,28,6,7,1,0,371
2024-03-02 12:40:00,21,32,30,40,2,18,28,27,36,36,23,28,26,22,7,7,1,0,384
2024-03-02 12:50:00,22,18,24,23,3,25,19,19,30,32,26,19,24,25,8,7,1,0,325
2024-03-02 13:00:00,24,31,33,35,3,21,17,22,34,32,19,21,17,20,14,16,2,0,361
2024-03-02 13:10:00,22,35,33,39,10,22,15,17,23,38,17,30,16,24,11,15,2,0,369
2024-03-02 13:20:00,23,25,31,36,14,23,21,20,26,31,25,16,17,23,12,12,1,0,356
2024-03-02 13:30:00,22,34,34,46,12,23,20,19,32,33,28,25,21,21,9,13,1,0,393
2024-03-02 13:40:00,34,36,34,39,13,31,19,25,34,41,32,30,22,31,8,14,0,0,443
2024-03-02 13:50:00,26,30,32,36,10,18,14,19,19,28,27,25,13,18,5,9,1,0,330
2024-03-02 14:00:00,27,50,37,38,9,33,14,24,22,31,29,24,14,26,9,13,1,0,401
2024-03-02 14:10:00,27,26,33,34,5,34,24,28,39,51,23,21,23,30,12,13,0,0,423
2024-03-02 14:20:00,27,27,33,26,7,28,24,25,37,50,25,22,22,31,8,9,1,0,402
2024-03-02 14:30:00,25,30,29,34,4,24,20,25,31,40,23,21,25,30,9,10,1,0,381
2024-03-02 14:40:00,21,27,25,30,1,35,22,21,35,48,25,22,25,32,5,10,1,0,385
2024-03-02 14:50:00,20,36,27,35,3,24,25,26,35,42,27,26,26,21,11,9,3,0,396
2024-03-02 15:00:00,24,27,30,32,5,31,20,28,30,47,30,22,24,26,14,19,1,0,410
2024-03-02 15:10:00,26,23,37,29,3,19,21,22,42,46,24,14,26,38,15,17,1,0,403
2024-03-02 15:20:00,15,20,24,27,10,24,26,28,60,63,19,10,25,32,14,12,0,0,409
2024-03-02 15:30:00,17,22,23,28,6,23,18,28,44,46,22,25,28,35,9,14,2,0,390
2024-03-02 15:40:00,22,21,24,24,5,27,16,19,24,39,21,20,21,23,8,7,0,0,321
2024-03-02 15:50:00,21,21,30,26,2,26,18,19,30,42,17,16,23,26,9,7,0,0,333
2024-03-02 16:00:00,24,20,27,21,4,20,24,19,28,32,22,12,25,24,5,7,2,0,316
2024-03-02 16:10:00,15,15,18,17,4,39,22,19,28,35,15,12,18,25,9,5,1,0,297
2024-03-02 16:20:00,13,20,20,23,5,16,20,26,24,35,24,16,21,31,8,6,2,0,310
2024-03-02 16:30:00,21,23,32,23,3,22,19,20,26,35,20,19,18,22,12,10,3,0,328
2024-03-02 16:40:00,20,30,28,29,1,21,18,25,30,34,21,22,19,25,9,10,4,0,346
2024-03-02 16:50:00,21,25,31,31,4,19,25,32,34,42,18,18,22,29,14,14,1,0,380
2024-03-02 17:00:00,20,21,36,27,3,24,20,25,26,32,18,14,19,28,11,14,8,0,346
2024-03-02 17:10:00,17,27,25,33,3,26,22,30,29,54,20,18,21,38,12,5,3,0,383
2024-03-02 17:20:00,20,24,25,27,2,35,30,32,38,45,21,21,27,34,11,12,3,0,407
2024-03-02 17:30:00,18,15,24,25,1,16,18,23,30,37,21,18,22,28,10,8,2,0,316
2024-03-02 17:40:00,21,20,27,24,3,25,18,31,36,38,20,14,23,28,12,15,3,0,358
2024-03-02 17:50:00,21,20,26,23,1,19,19,21,37,39,19,18,23,26,6,6,1,0,325
2024-03-02 18:00:00,23,19,34,27,2,21,24,24,44,41,19,11,27,28,10,8,0,0,362
2024-03-02 18:10:00,28,30,46,38,1,25,28,14,32,31,32,21,23,27,12,13,0,0,401
