datetime,D11Z,D12Z,D13Z,D21Z,D22Z,D31Z,D32Z,D41Z,D42Z,Total
2024-03-03 17:30:00,10,25,20,88,38,0,26,0,19,226
2024-03-03 17:40:00,7,27,19,78,30,0,29,0,10,200
2024-03-03 17:50:00,9,32,39,81,38,0,25,0,11,235
2024-03-03 18:00:00,10,31,26,108,50,0,25,0,15,265
2024-03-03 18:10:00,11,20,22,90,30,0,22,0,24,219
2024-03-03 18:20:00,8,21,16,54,28,0,24,0,22,173
2024-03-03 18:30:00,8,31,29,54,39,0,16,0,30,207
2024-03-03 18:40:00,5,8,18,59,42,0,22,0,19,173
2024-03-03 18:50:00,7,23,16,63,34,0,16,0,20,179
2024-03-03 19:00:00,6,25,23,45,40,0,23,0,12,174
2024-03-03 19:10:00,7,25,22,45,35,0,21,0,11,166
2024-03-03 19:20:00,5,21,15,39,29,0,19,0,17,145
2024-03-03 19:30:00,5,23,21,32,24,0,18,0,13,136
2024-03-03 19:40:00,6,15,19,47,33,0,18,0,18,156
2024-03-03 19:50:00,4,11,11,36,19,0,18,0,17,116
2024-03-03 20:00:00,1,18,14,30,28,0,12,0,14,117
2024-03-03 20:10:00,3,5,10,36,26,0,14,0,17,111
2024-03-03 20:20:00,3,13,16,24,13,0,15,0,16,100
2024-03-03 20:30:00,10,11,19,30,38,0,12,0,17,137
2024-03-03 20:40:00,2,10,11,40,29,0,9,0,13,114
2024-03-03 20:50:00,3,16,10,44,27,0,12,0,14,126
2024-03-03 21:00:00,6,13,13,24,26,0,10,0,15,107
2024-03-03 21:10:00,9,18,11,30,16,0,9,0,8,101
2024-03-03 21:20:00,5,7,9,19,12,0,10,0,5,67
2024-03-03 21:30:00,2,10,9,21,20,0,6,0,6,74
2024-03-03 21:40:00,4,10,9,25,22,0,9,0,4,83
2024-03-03 21:50:00,1,8,9,16,16,0,6,0,15,71
2024-03-03 22:00:00,1,9,7,21,11,0,6,0,12,67
2024-03-03 22:10:00,1,5,4,25,23,0,6,0,12,76
