datetime,D21Z,D23Z,D81Z,D111Z,D112Z,V24Z,V25Z,V51Z,V52Z,V83Z,V84Z,V113Z,V114Z,Total
2024-03-02 12:20:00,87,1,99,16,11,32,13,17,8,25,7,11,7,334
2024-03-02 12:30:00,75,1,88,29,8,38,16,20,5,24,4,18,9,335
2024-03-02 12:40:00,84,0,93,23,16,42,21,24,18,20,8,20,13,382
2024-03-02 12:50:00,78,0,116,25,15,38,18,19,14,31,6,14,5,379
2024-03-02 13:00:00,94,0,85,25,9,23,14,29,9,14,10,41,5,358
2024-03-02 13:10:00,89,0,95,26,17,25,14,31,16,2,6,13,13,347
2024-03-02 13:20:00,89,1,102,34,18,34,20,16,17,0,8,24,7,370
2024-03-02 13:30:00,90,2,92,16,12,19,10,21,13,17,7,13,8,320
2024-03-02 13:40:00,85,0,91,19,19,29,18,27,12,8,7,27,15,357
2024-03-02 13:50:00,87,2,76,26,18,20,15,29,13,19,11,13,6,335
2024-03-02 14:00:00,92,2,94,26,16,26,18,19,25,5,28,18,6,375
2024-03-02 14:10:00,96,1,92,23,17,25,24,22,12,1,24,15,7,359
2024-03-02 14:20:00,102,0,88,38,14,22,13,19,6,7,12,16,10,347
2024-03-02 14:30:00,98,2,91,27,20,31,15,24,19,8,7,18,9,369
2024-03-02 14:40:00,81,1,94,30,18,25,15,22,8,3,9,17,7,330
2024-03-02 14:50:00,83,2,93,27,10,29,22,17,16,8,7,16,6,336
2024-03-02 15:00:00,98,0,94,25,9,26,20,27,13,7,10,14,9,352
2024-03-02 15:10:00,96,3,92,30,13,27,13,23,17,5,9,17,9,354
2024-03-02 15:20:00,93,2,92,33,20,32,26,28,9,2,9,16,15,377
2024-03-02 15:30:00,95,0,93,23,16,28,17,21,4,5,6,18,13,339
2024-03-02 15:40:00,86,5,97,31,18,35,29,21,9,3,11,17,10,372
2024-03-02 15:50:00,90,1,74,24,17,24,12,26,8,17,10,11,12,326
2024-03-02 16:00:00,76,0,62,19,11,24,11,28,7,20,14,12,7,291
2024-03-02 16:10:00,88,0,76,28,10,31,16,20,9,18,2,24,3,325
2024-03-02 16:20:00,94,0,73,25,10,24,14,24,8,21,6,12,3,314
2024-03-02 16:30:00,81,1,75,25,9,22,12,22,4,16,4,17,8,296
2024-03-02 16:40:00,86,0,90,13,12,28,11,17,7,11,10,7,7,299
2024-03-02 16:50:00,68,2,79,25,17,31,8,17,5,28,5,18,9,312
2024-03-02 17:00:00,89,2,61,11,15,24,11,25,13,29,8,12,5,305
2024-03-02 17:10:00,73,2,79,22,20,25,8,19,11,12,5,13,9,298
2024-03-02 17:20:00,82,1,79,19,11,27,13,12,12,21,3,15,4,299
2024-03-02 17:30:00,77,2,71,21,11,29,21,16,6,19,7,14,6,300
2024-03-02 17:40:00,91,1,84,30,12,23,13,19,11,19,11,19,4,337
2024-03-02 17:50:00,81,2,86,24,16,29,9,18,10,17,10,16,9,327
2024-03-02 18:00:00,85,1,97,17,11,26,3,29,12,5,5,17,12,320
2024-03-02 18:10:00,76,1,81,19,22,28,15,28,10,22,13,24,7,346
2024-03-02 18:20:00,102,0,76,25,11,25,16,26,15,14,8,20,4,342
2024-03-02 18:30:00,81,0,75,20,12,39,35,34,8,25,9,16,8,362
2024-03-02 18:40:00,67,1,77,17,18,40,9,25,5,26,14,17,9,325
2024-03-02 18:50:00,77,0,62,23,11,55,16,23,6,28,5,23,6,335
2024-03-02 19:00:00,77,4,51,14,13,46,16,34,7,26,3,23,12,326
