datetime,D41Z,V42Z,D71Z,D81Z,D82Z,V83Z,V84Z,D811Z,D812Z,V813Z,V814Z,D111Z,D112Z,V113Z,V114Z,D115Z,D121Z,D122Z,V123Z,V124Z,D125Z,D126Z,V521Z,Total
2024-03-02 04:40:00,1,1,0,0,0,0,0,0,0,0,0,1,2,0,5,2,4,0,5,0,4,0,1,26
2024-03-02 04:50:00,0,0,0,1,0,2,0,0,2,3,0,2,2,1,4,3,2,0,2,0,2,0,1,27
2024-03-02 05:00:00,1,1,0,0,1,0,2,0,1,1,1,1,1,0,4,1,5,1,4,1,7,1,1,35
2024-03-02 05:10:00,0,1,2,1,0,3,2,0,1,2,0,1,3,0,8,2,7,3,7,3,12,5,0,63
2024-03-02 05:20:00,3,3,0,2,3,3,3,1,5,5,2,2,0,2,6,4,10,2,9,3,11,1,3,83
2024-03-02 05:30:00,1,1,0,2,2,4,3,1,3,3,1,0,1,0,10,2,14,5,11,4,17,3,2,90
2024-03-02 05:40:00,2,2,0,0,1,1,2,2,2,5,4,1,2,1,6,2,13,1,13,1,15,0,1,77
2024-03-02 05:50:00,0,0,1,0,2,1,1,0,0,0,0,3,3,1,7,3,8,2,9,2,11,0,1,55
2024-03-02 06:00:00,2,1,2,0,5,4,8,4,2,1,3,2,2,2,7,4,12,1,11,1,13,2,2,91
2024-03-02 06:10:00,1,1,1,1,2,2,2,2,1,2,2,0,3,0,12,5,10,1,10,2,9,3,0,72
2024-03-02 06:20:00,0,0,1,2,2,3,2,1,2,2,1,1,4,1,12,5,13,1,13,1,14,5,2,88
2024-03-02 06:30:00,0,0,0,0,3,2,3,1,0,0,1,1,6,0,10,5,8,5,8,4,11,7,1,76
2024-03-02 06:40:00,1,1,0,2,0,3,0,0,3,6,0,3,6,1,13,7,17,2,12,2,18,1,2,100
2024-03-02 06:50:00,1,1,1,1,5,3,1,0,2,2,0,1,5,1,12,7,13,3,12,3,17,1,1,93
2024-03-02 07:00:00,2,3,2,1,3,6,3,2,1,3,2,2,4,1,8,6,11,5,12,5,15,2,2,101
2024-03-02 07:10:00,4,3,3,0,1,6,1,2,5,6,2,4,9,2,16,10,14,2,10,2,16,1,4,123
2024-03-02 07:20:00,1,4,2,3,5,5,5,3,5,5,3,0,3,0,6,3,16,3,14,3,19,3,1,112
2024-03-02 07:30:00,5,4,4,6,3,11,5,2,9,9,2,2,9,0,10,11,14,6,11,9,18,6,2,158
2024-03-02 07:40:00,2,4,2,8,3,12,6,3,10,10,4,6,3,5,9,8,17,2,12,2,19,0,3,150
2024-03-02 07:50:00,4,6,3,9,4,11,4,4,11,12,4,3,54,1,14,15,13,4,9,4,16,2,1,208
