datetime,D11Z,D12Z,V13Z,V14Z,V15Z,D21Z,D22Z,V23Z,V24Z,D31Z,D32Z,V33Z,V34Z,V37Z,D41Z,D42Z,V43Z,V44Z,D35Z,D36Z,Total
2024-03-02 06:00:00,2,12,5,18,12,3,4,1,6,3,15,7,15,4,16,14,1,1,0.0,0.0,139.0
2024-03-02 06:10:00,5,12,3,14,12,1,3,0,4,6,11,9,22,6,13,7,1,2,0.0,0.0,131.0
2024-03-02 06:20:00,2,9,3,12,10,0,3,0,2,6,9,7,15,6,12,5,2,4,0.0,0.0,107.0
2024-03-02 06:30:00,1,3,3,3,2,1,3,1,3,5,16,7,22,4,18,12,1,1,0.0,0.0,106.0
2024-03-02 06:40:00,3,11,4,18,11,0,0,0,0,7,18,11,31,8,19,13,2,3,0.0,0.0,159.0
2024-03-02 06:50:00,2,13,6,13,12,1,1,1,0,4,17,3,20,5,18,15,0,0,0.0,0.0,131.0
2024-03-02 07:00:00,4,16,2,14,15,1,2,1,2,3,19,3,19,3,21,17,1,4,0.0,0.0,147.0
2024-03-02 07:10:00,5,9,4,7,9,2,1,2,1,5,15,4,14,5,16,14,2,2,0.0,0.0,117.0
2024-03-02 07:20:00,3,14,2,14,12,1,1,1,1,9,16,10,18,9,22,13,4,3,0.0,0.0,153.0
2024-03-02 07:30:00,5,18,3,17,19,4,3,4,3,16,28,15,27,14,41,20,3,4,0.0,0.0,244.0
2024-03-02 07:40:00,5,20,6,18,20,0,3,0,2,6,34,4,32,7,42,33,2,2,0.0,0.0,236.0
2024-03-02 07:50:00,6,18,4,16,17,2,4,1,4,11,33,6,22,10,35,31,3,4,0.0,0.0,227.0
2024-03-02 08:00:00,5,18,4,15,17,5,3,4,3,1,37,1,27,1,37,35,2,3,0.0,0.0,218.0
2024-03-02 08:10:00,8,17,8,16,15,3,4,2,6,5,30,5,17,5,36,27,5,6,0.0,0.0,215.0
2024-03-02 08:20:00,4,10,4,13,9,4,5,2,5,8,30,6,28,6,32,28,5,6,0.0,0.0,205.0
2024-03-02 08:30:00,11,20,7,18,23,4,8,4,5,7,34,4,29,8,39,31,2,4,0.0,0.0,258.0
2024-03-02 08:40:00,8,22,10,22,20,5,4,6,3,19,50,15,34,18,63,45,7,5,0.0,0.0,356.0
2024-03-02 08:50:00,6,19,7,17,19,4,5,3,5,18,50,15,22,20,62,45,4,6,0.0,0.0,327.0
2024-03-02 09:00:00,6,24,6,21,25,3,13,4,12,16,40,12,33,13,49,35,3,5,0.0,0.0,320.0
2024-03-02 09:10:00,8,30,4,22,28,2,7,1,9,15,73,12,32,16,83,68,8,10,0.0,0.0,428.0
2024-03-02 09:20:00,8,28,4,28,25,4,7,5,8,29,62,20,35,31,83,58,6,7,0.0,0.0,448.0
2024-03-02 09:30:00,11,27,13,23,25,4,7,3,3,25,60,20,33,27,79,52,4,4,0.0,0.0,420.0
2024-03-02 09:40:00,11,37,7,19,37,2,16,0,12,24,83,22,33,23,98,74,7,8,0.0,0.0,513.0
2024-03-02 09:50:00,19,29,14,29,25,9,8,6,9,25,65,16,29,28,87,65,7,9,0.0,0.0,479.0
