datetime,V11Z,V12Z,V13Z,D21Z,D22Z,D23Z,D24Z,D31Z,D32Z,D33Z,V41Z,V42Z,V43Z,V44Z,Total
2024-03-02 22:30:00,27,24,19,0,0,35,7,6,12,6,16,7,13,10,182
2024-03-02 22:40:00,17,29,16,0,0,16,9,9,13,5,22,6,19,10,171
2024-03-02 22:50:00,17,19,17,0,0,20,7,7,12,5,21,9,14,15,163
2024-03-02 23:00:00,8,20,17,0,0,27,10,10,16,5,18,7,18,10,166
2024-03-02 23:10:00,15,18,10,0,0,30,5,6,26,7,16,4,21,3,161
2024-03-02 23:20:00,15,16,19,0,0,14,5,7,19,8,12,5,15,9,144
2024-03-02 23:30:00,20,12,10,0,0,17,3,4,19,3,13,4,11,7,123
2024-03-02 23:40:00,14,17,8,0,0,19,7,9,9,3,10,5,17,7,125
2024-03-02 23:50:00,15,14,17,0,0,26,8,5,9,7,14,4,16,6,141
2024-03-03 00:00:00,7,23,16,0,0,18,13,6,10,1,13,5,15,4,131
2024-03-03 00:10:00,14,12,8,0,0,15,5,5,16,4,14,4,8,4,109
2024-03-03 00:20:00,13,14,12,0,0,19,6,8,8,2,7,5,8,8,110
2024-03-03 00:30:00,11,12,9,0,0,12,5,1,6,2,15,4,15,10,102
2024-03-03 00:40:00,24,23,16,0,0,15,5,4,7,7,11,6,11,5,134
2024-03-03 00:50:00,11,14,16,0,0,7,5,5,11,3,9,4,9,4,98
2024-03-03 01:00:00,9,11,12,0,0,12,5,6,9,4,13,2,16,4,103
2024-03-03 01:10:00,9,11,12,0,0,11,4,0,5,3,10,4,9,5,83
2024-03-03 01:20:00,12,2,1,0,0,17,2,5,7,0,9,1,8,3,67
2024-03-03 01:30:00,3,15,10,0,0,7,4,3,9,7,6,5,5,8,82
2024-03-03 01:40:00,4,4,1,0,0,9,3,5,9,0,3,2,2,4,46
2024-03-03 01:50:00,8,10,4,0,0,10,4,0,4,5,3,0,0,0,48
2024-03-03 02:00:00,3,8,5,0,0,10,5,3,10,5,13,1,15,0,78
2024-03-03 02:10:00,0,3,1,0,0,1,1,1,8,4,5,1,6,2,33
2024-03-03 02:20:00,6,7,6,0,0,5,4,2,3,1,10,4,7,6,61
2024-03-03 02:30:00,5,3,2,0,0,8,5,1,2,2,4,4,3,3,42
2024-03-03 02:40:00,5,3,5,0,0,5,1,3,6,2,5,2,3,2,42
2024-03-03 02:50:00,5,6,3,0,0,3,4,1,3,1,6,1,10,1,44
2024-03-03 03:00:00,5,11,5,0,0,6,3,5,5,3,4,0,1,0,48
2024-03-03 03:10:00,3,8,7,0,0,3,5,1,2,2,6,0,5,0,42
2024-03-03 03:20:00,2,2,2,0,0,5,3,1,5,0,2,2,4,2,30
2024-03-03 03:30:00,3,3,2,0,0,5,2,2,1,2,4,2,3,1,30
2024-03-03 03:40:00,4,3,1,0,0,2,1,1,1,1,4,2,4,4,28
2024-03-03 03:50:00,1,5,3,0,0,1,3,4,4,0,5,2,3,5,36
2024-03-03 04:00:00,0,3,3,0,0,7,0,4,3,1,9,4,3,4,41
2024-03-03 04:10:00,6,1,2,0,0,6,2,1,6,1,1,0,2,0,28
2024-03-03 04:20:00,0,5,3,0,0,3,0,3,7,2,2,3,5,3,36
2024-03-03 04:30:00,3,4,3,0,0,4,3,0,3,1,4,1,4,1,31
2024-03-03 04:40:00,5,3,2,0,0,3,1,1,1,1,2,0,2,0,21
2024-03-03 04:50:00,2,3,3,0,0,1,2,2,4,0,4,0,4,0,25
2024-03-03 05:00:00,0,1,2,0,0,2,0,3,4,0,2,6,4,9,33
2024-03-03 05:10:00,0,3,3,0,0,4,2,2,7,0,3,1,4,1,30
2024-03-03 05:20:00,2,3,3,0,0,8,2,4,7,3,4,3,5,4,48
2024-03-03 05:30:00,0,3,4,0,0,13,3,2,4,3,8,2,7,3,52
