datetime,V21Z,V22Z,V81Z,V82Z,D11Z,D12Z,Total
2024-03-04 06:20:00,0,40,0,59,10,0,109
2024-03-04 06:30:00,0,48,0,71,25,0,144
2024-03-04 06:40:00,0,55,0,78,9,0,142
2024-03-04 06:50:00,0,27,0,62,18,0,107
2024-03-04 07:00:00,0,36,0,34,15,0,85
2024-03-04 07:10:00,0,27,0,37,11,0,75
2024-03-04 07:20:00,0,39,0,27,71,0,137
2024-03-04 07:30:00,0,31,0,31,6,0,68
2024-03-04 07:40:00,0,26,0,36,13,0,75
2024-03-04 07:50:00,0,31,0,29,12,0,72
2024-03-04 08:00:00,0,34,0,36,11,0,81
2024-03-04 08:10:00,0,37,0,30,16,0,83
2024-03-04 08:20:00,0,30,0,35,14,0,79
2024-03-04 08:30:00,0,34,0,40,7,0,81
2024-03-04 08:40:00,0,33,0,31,11,0,75
2024-03-04 08:50:00,0,44,0,36,139,0,219
2024-03-04 09:00:00,0,38,0,35,10,0,83
2024-03-04 09:10:00,0,43,0,36,4,0,83
2024-03-04 09:20:00,0,35,0,32,4,0,71
2024-03-04 09:30:00,0,29,0,32,3,0,64
2024-03-04 09:40:00,0,36,0,25,6,0,67
2024-03-04 09:50:00,0,28,0,35,6,0,69
2024-03-04 10:00:00,0,33,0,46,5,0,84
2024-03-04 10:10:00,0,32,0,39,1,0,72
2024-03-04 10:20:00,0,27,0,29,3,0,59
2024-03-04 10:30:00,0,24,0,22,4,0,50
2024-03-04 10:40:00,0,40,0,24,1,0,65
2024-03-04 10:50:00,0,37,0,33,2,0,72
2024-03-04 11:00:00,0,35,0,30,5,0,70
2024-03-04 11:10:00,0,33,0,29,3,0,65
2024-03-04 11:20:00,0,25,0,28,2,0,55
2024-03-04 11:30:00,0,29,0,35,5,0,69
2024-03-04 11:40:00,0,31,0,36,6,0,73
2024-03-04 11:50:00,0,33,0,24,0,0,57
2024-03-04 12:00:00,0,38,0,33,1,0,72
2024-03-04 12:10:00,0,36,0,28,3,0,67
2024-03-04 12:20:00,0,37,0,36,2,0,75
2024-03-04 12:30:00,0,37,0,32,3,0,72
2024-03-04 12:40:00,0,25,0,27,3,0,55
2024-03-04 12:50:00,0,27,0,28,6,0,61
2024-03-04 13:00:00,0,33,0,38,4,0,75
2024-03-04 13:10:00,0,35,0,33,5,0,73
2024-03-04 13:20:00,0,34,0,33,5,0,72
2024-03-04 13:30:00,0,40,0,27,3,0,70
2024-03-04 13:40:00,0,35,0,34,4,0,73
2024-03-04 13:50:00,0,39,0,35,3,0,77
2024-03-04 14:00:00,0,25,0,33,8,0,66
