datetime,D11Z,V111Z,D12Z,V121Z,D21Z,V211Z,D23Z,D22Z,V221Z,D31Z,V311Z,D32Z,V321Z,D41Z,V411Z,D43Z,D42Z,V421Z,D44Z,Total
2024-03-02 14:50:00,18,13,40,20,4,9,29,0,10,49,7,18,10,26,28,17,24,22,11,355
2024-03-02 15:00:00,28,20,42,25,7,14,26,0,12,60,8,14,7,27,36,20,20,22,15,403
2024-03-02 15:10:00,24,18,45,29,10,19,39,0,3,39,4,17,7,29,31,19,13,14,8,368
2024-03-02 15:20:00,18,14,41,27,8,19,29,0,11,57,4,28,6,36,37,10,13,13,8,379
2024-03-02 15:30:00,24,12,54,21,4,12,28,0,12,46,4,17,2,36,43,18,17,21,13,384
2024-03-02 15:40:00,16,12,31,22,9,18,35,0,5,42,7,9,5,27,30,21,18,12,8,327
2024-03-02 15:50:00,17,12,49,26,8,23,32,0,9,51,8,26,3,24,31,22,18,20,13,392
2024-03-02 16:00:00,87,11,35,22,4,17,33,0,8,53,2,10,2,18,20,12,15,11,6,366
2024-03-02 16:10:00,31,17,60,24,6,21,25,0,4,41,6,20,6,18,22,12,13,13,9,348
2024-03-02 16:20:00,10,7,33,24,10,24,36,0,6,61,3,27,9,23,23,15,18,14,11,354
2024-03-02 16:30:00,13,9,36,21,8,17,28,0,12,46,1,25,6,25,26,17,17,21,10,338
2024-03-02 16:40:00,19,15,42,15,6,18,24,0,9,57,3,15,8,25,32,14,15,25,9,351
2024-03-02 16:50:00,15,12,49,17,6,13,27,0,6,50,3,27,7,30,27,15,17,17,10,348
2024-03-02 17:00:00,19,10,42,31,8,16,26,0,6,52,2,22,0,18,24,16,15,14,8,329
2024-03-02 17:10:00,21,16,40,28,12,19,47,0,13,59,2,18,4,29,32,11,9,12,6,378
2024-03-02 17:20:00,21,14,37,21,3,11,31,0,14,44,8,16,5,28,31,20,20,21,10,355
2024-03-02 17:30:00,25,17,45,23,6,17,30,0,13,65,12,13,8,28,34,18,19,22,13,408
2024-03-02 17:40:00,18,14,51,24,7,19,28,0,12,141,22,7,7,17,17,15,24,21,7,451
2024-03-02 17:50:00,21,17,46,26,7,14,38,0,9,79,13,9,7,25,32,18,29,24,15,429
2024-03-02 18:00:00,20,11,40,19,9,11,48,0,10,70,13,4,3,34,35,18,33,31,10,419
2024-03-02 18:10:00,14,8,39,24,8,20,44,0,15,68,12,16,9,30,29,22,24,27,12,421
2024-03-02 18:20:00,22,17,43,16,6,20,45,0,7,33,7,24,7,27,31,27,23,21,14,390
2024-03-02 18:30:00,12,14,36,18,6,16,27,0,9,70,3,14,4,26,32,22,14,20,18,361
2024-03-02 18:40:00,24,23,34,21,4,20,39,0,13,45,6,20,7,24,30,20,21,24,21,396
2024-03-02 18:50:00,14,13,42,15,8,22,33,0,17,48,9,32,11,27,29,21,19,19,26,405
2024-03-02 19:00:00,21,24,37,14,5,12,24,0,6,48,8,21,17,24,27,24,13,19,11,355
2024-03-02 19:10:00,11,12,36,11,5,16,35,0,10,36,1,19,5,18,24,14,13,15,8,289
