datetime,D21Z,V22Z,D31Z,V32Z,D51Z,D52Z,V53Z,V54Z,D81Z,D82Z,D83Z,V84Z,V85Z,V86Z,Total
2024-03-02 11:10:00,67,33,6,7,5,17,6,12,9,58,26,8,13,20,287
2024-03-02 11:20:00,57,35,4,2,9,17,13,15,4,45,18,9,11,33,272
2024-03-02 11:30:00,52,28,8,6,6,9,8,13,9,38,16,14,14,21,242
2024-03-02 11:40:00,67,33,9,6,7,5,8,11,4,41,18,9,16,13,247
2024-03-02 11:50:00,62,29,11,8,12,16,19,18,8,51,22,12,13,23,304
2024-03-02 12:00:00,63,33,11,8,4,12,6,9,5,47,21,6,13,28,266
2024-03-02 12:10:00,58,40,10,9,8,22,12,16,5,38,22,7,15,18,280
2024-03-02 12:20:00,57,33,10,8,10,18,12,13,12,37,23,15,14,17,279
2024-03-02 12:30:00,87,44,11,6,6,19,6,13,6,48,30,6,21,25,328
2024-03-02 12:40:00,49,38,8,9,5,14,9,8,6,38,28,7,14,17,250
2024-03-02 12:50:00,64,40,13,11,5,14,9,15,3,60,30,5,17,12,298
2024-03-02 13:00:00,62,38,9,8,4,8,4,9,8,60,28,12,17,19,286
2024-03-02 13:10:00,76,47,12,11,8,15,13,12,7,39,27,13,20,20,320
2024-03-02 13:20:00,66,37,11,11,10,17,12,18,14,51,30,11,21,12,321
2024-03-02 13:30:00,81,44,8,6,3,13,6,13,11,76,25,12,18,24,340
2024-03-02 13:40:00,63,39,18,18,7,21,9,17,9,46,22,9,15,14,307
2024-03-02 13:50:00,67,33,16,15,5,14,10,18,13,39,16,11,16,35,308
2024-03-02 14:00:00,73,41,14,12,11,14,11,15,15,42,21,13,16,28,326
2024-03-02 14:10:00,80,31,24,12,9,17,7,15,11,57,25,14,18,14,334
2024-03-02 14:20:00,73,35,17,11,11,14,10,15,11,50,25,13,17,18,320
2024-03-02 14:30:00,71,33,18,15,7,23,10,15,15,53,28,13,19,13,333
2024-03-02 14:40:00,68,37,11,12,8,12,8,8,12,51,29,15,15,19,305
2024-03-02 14:50:00,64,35,10,7,7,14,5,10,5,42,22,11,15,11,258
2024-03-02 15:00:00,64,30,13,5,7,19,7,15,8,39,28,11,20,23,289
2024-03-02 15:10:00,64,42,7,3,6,11,8,12,6,51,27,5,11,19,272
2024-03-02 15:20:00,77,30,5,6,3,15,6,16,12,42,22,10,10,21,275
2024-03-02 15:30:00,72,34,9,9,6,12,7,6,6,47,19,16,17,17,277
2024-03-02 15:40:00,55,31,11,9,7,13,8,17,10,42,22,13,11,16,265
2024-03-02 15:50:00,145,34,8,6,3,9,3,12,5,39,14,9,10,23,320
2024-03-02 16:00:00,67,33,10,7,4,15,5,9,7,30,16,8,11,17,239
2024-03-02 16:10:00,60,40,7,7,6,9,8,7,5,25,17,9,16,13,229
2024-03-02 16:20:00,61,29,9,11,8,18,9,18,6,40,16,5,12,16,258
2024-03-02 16:30:00,85,27,3,2,7,16,7,16,4,50,17,7,15,33,289
2024-03-02 16:40:00,65,34,6,4,2,9,4,11,5,40,18,5,14,27,244
2024-03-02 16:50:00,58,29,13,8,3,14,4,10,7,47,22,7,17,15,254
2024-03-02 17:00:00,65,32,5,4,2,18,2,12,9,38,16,10,12,30,255
2024-03-02 17:10:00,74,36,9,7,11,17,7,19,4,39,26,4,19,16,288
2024-03-02 17:20:00,65,33,5,3,9,19,8,16,10,47,17,12,15,28,287
2024-03-02 17:30:00,60,23,5,5,6,16,6,12,13,53,18,17,14,34,282
2024-03-02 17:40:00,62,33,5,4,23,38,16,32,6,54,26,6,22,28,355
2024-03-02 17:50:00,73,33,16,14,22,31,21,28,5,30,16,6,16,21,332
2024-03-02 18:00:00,69,34,11,6,23,73,15,32,9,50,16,10,12,17,377
2024-03-02 18:10:00,53,36,4,8,23,26,18,24,6,55,19,7,13,22,314
2024-03-02 18:20:00,66,31,17,19,16,19,12,24,11,39,25,12,18,23,332
2024-03-02 18:30:00,74,21,7,20,12,19,16,22,5,43,25,7,24,19,314
2024-03-02 18:40:00,74,24,13,14,7,17,10,21,5,46,21,5,18,30,305
2024-03-02 18:50:00,59,31,5,22,4,13,5,10,8,58,25,9,24,30,303
2024-03-02 19:00:00,69,18,8,38,7,15,8,18,7,43,23,10,20,21,305
2024-03-02 19:10:00,46,22,8,11,3,11,5,9,3,38,18,4,10,24,212
2024-03-02 19:20:00,59,23,7,32,7,11,14,14,3,43,18,3,27,27,288
2024-03-02 19:30:00,59,24,7,27,6,12,7,12,4,40,22,5,23,29,277
2024-03-02 19:40:00,35,29,6,11,3,8,6,11,7,32,17,7,20,16,208
2024-03-02 19:50:00,55,24,6,7,3,9,6,6,5,26,11,6,11,29,204
2024-03-02 20:00:00,44,31,6,4,0,6,0,4,7,30,16,7,18,28,201
2024-03-02 20:10:00,36,25,8,19,1,9,3,5,6,20,12,6,15,20,185
2024-03-02 20:20:00,48,24,9,11,10,10,13,16,10,34,9,10,5,28,237
2024-03-02 20:30:00,36,28,5,17,5,6,8,10,3,35,5,4,8,28,198
2024-03-02 20:40:00,49,32,8,6,5,10,7,12,2,28,15,2,19,23,218
2024-03-02 20:50:00,33,23,3,3,1,11,0,11,4,24,7,5,5,29,159
2024-03-02 21:00:00,48,25,5,7,1,5,2,5,0,29,7,0,13,29,176
2024-03-02 21:10:00,30,22,7,7,1,5,1,2,0,22,10,0,9,23,139
2024-03-02 21:20:00,37,27,4,6,1,10,2,11,3,17,5,3,7,20,153
2024-03-02 21:30:00,41,26,2,2,2,7,2,6,2,20,4,2,4,20,140
2024-03-02 21:40:00,30,21,5,4,0,3,0,1,3,33,3,3,3,30,139
2024-03-02 21:50:00,41,29,5,5,4,3,5,5,0,19,4,0,3,20,143
2024-03-02 22:00:00,34,24,6,6,2,7,3,6,3,19,6,3,6,22,147
2024-03-02 22:10:00,40,25,6,6,3,6,3,5,1,30,6,1,5,27,164
2024-03-02 22:20:00,55,30,7,5,2,6,3,4,3,29,4,3,4,31,186
2024-03-02 22:30:00,52,25,6,6,1,1,3,2,1,26,4,1,5,22,155
2024-03-02 22:40:00,42,28,5,10,1,2,3,2,2,22,9,2,7,24,159
2024-03-02 22:50:00,42,29,2,3,3,5,4,6,2,25,3,1,3,28,156
2024-03-02 23:00:00,39,31,3,15,1,4,1,4,3,25,7,3,9,28,173
2024-03-02 23:10:00,33,28,4,6,3,6,2,4,1,30,4,1,3,17,142
2024-03-02 23:20:00,41,31,5,13,0,5,0,2,2,30,6,2,8,22,167
2024-03-02 23:30:00,29,23,8,15,1,7,2,4,3,17,6,3,7,19,144
2024-03-02 23:40:00,28,23,2,12,0,2,0,3,0,14,2,0,1,15,102
2024-03-02 23:50:00,37,33,3,9,1,2,1,2,0,14,3,0,2,18,125
2024-03-03 00:00:00,36,22,1,2,1,5,1,5,2,7,3,3,3,6,97
2024-03-03 00:10:00,35,30,6,6,0,5,0,3,4,42,13,4,17,31,196
2024-03-03 00:20:00,24,23,4,13,1,1,1,1,2,16,2,2,2,19,111
2024-03-03 00:30:00,29,22,1,6,1,2,2,3,0,13,6,0,7,14,106
2024-03-03 00:40:00,24,21,3,9,0,3,0,1,0,20,5,0,5,20,111
2024-03-03 00:50:00,37,25,9,7,2,5,3,2,1,12,4,1,5,14,127
2024-03-03 01:00:00,25,21,0,0,0,2,0,2,0,23,4,0,5,26,108
2024-03-03 01:10:00,23,19,3,1,1,4,2,3,0,26,3,0,3,25,113
2024-03-03 01:20:00,14,14,2,12,0,3,0,1,1,14,1,3,1,16,82
2024-03-03 01:30:00,14,13,1,2,2,5,2,5,2,14,3,2,3,12,80
2024-03-03 01:40:00,13,13,3,3,0,1,0,0,1,14,5,1,4,10,68
2024-03-03 01:50:00,14,12,2,6,0,2,1,0,3,14,2,2,2,18,78
2024-03-03 02:00:00,14,15,1,6,1,2,1,2,0,12,2,0,2,11,69
2024-03-03 02:10:00,17,13,6,11,0,1,0,0,1,14,4,3,4,13,87
2024-03-03 02:20:00,9,8,2,1,1,0,1,1,0,14,2,0,1,15,55
2024-03-03 02:30:00,9,9,0,4,0,0,0,0,0,15,6,0,8,13,64
2024-03-03 02:40:00,5,5,1,1,0,0,0,0,0,13,1,0,2,17,45
2024-03-03 02:50:00,9,8,1,8,0,0,0,0,0,10,0,0,0,10,46
2024-03-03 03:00:00,18,17,5,21,0,1,0,2,0,8,1,0,1,10,84
2024-03-03 03:10:00,13,13,2,1,0,0,0,0,0,6,1,0,1,10,47
2024-03-03 03:20:00,5,5,1,0,0,1,0,0,0,10,0,0,0,10,32
2024-03-03 03:30:00,14,14,1,18,1,4,1,4,1,10,3,1,3,12,87
2024-03-03 03:40:00,9,8,1,1,0,0,0,0,0,10,3,0,3,9,44
2024-03-03 03:50:00,7,7,0,1,1,1,1,1,0,8,0,0,0,6,33
2024-03-03 04:00:00,6,6,1,3,0,0,0,0,0,13,1,0,1,17,48
2024-03-03 04:10:00,5,5,2,5,0,1,1,0,0,8,0,0,0,9,36
2024-03-03 04:20:00,5,5,1,1,0,0,0,0,0,4,1,0,1,5,23
2024-03-03 04:30:00,2,2,0,6,0,0,0,0,0,6,1,0,0,7,24
2024-03-03 04:40:00,4,4,0,9,0,0,0,0,0,6,1,0,0,6,30
2024-03-03 04:50:00,1,1,0,0,0,0,0,0,0,5,2,0,2,6,17
2024-03-03 05:00:00,10,10,0,9,0,0,0,0,0,11,1,0,1,12,54
2024-03-03 05:10:00,3,4,0,1,1,0,2,1,0,5,2,0,2,5,26
2024-03-03 05:20:00,9,9,2,8,0,0,0,0,0,6,4,0,4,8,50
2024-03-03 05:30:00,6,6,0,6,0,0,0,0,0,8,0,0,0,10,36
