datetime,D21Z,D22Z,V23Z,V24Z,D31Z,V32Z,D33Z,D51Z,D52Z,V53Z,D61Z,D62Z,V63Z,V64Z,D81Z,D82Z,V83Z,V84Z,D91Z,V92Z,D111Z,D112Z,V113Z,V114Z,D121Z,V122Z,Total
2024-03-02 04:50:00,1,7,1,7,3,1,2,0,0,0,1,0,1,0,0,6,2,6,10,0,0,1,0,0,1,0,50
2024-03-02 05:00:00,1,5,2,5,1,1,1,2,2,2,2,0,2,1,0,8,3,7,7,0,2,1,0,0,0,0,55
2024-03-02 05:10:00,0,7,0,9,0,0,0,0,0,0,3,0,6,0,0,8,3,7,5,2,0,5,0,0,0,0,55
2024-03-02 05:20:00,0,9,0,9,9,1,3,0,0,0,2,0,3,0,0,12,6,10,14,0,0,1,0,0,0,0,79
2024-03-02 05:30:00,0,2,0,3,2,0,0,0,0,1,2,0,2,0,0,20,3,13,12,5,0,7,0,1,0,0,73
2024-03-02 05:40:00,0,10,1,8,2,0,0,4,4,4,0,0,4,0,0,10,4,8,6,0,3,3,0,1,1,0,73
2024-03-02 05:50:00,0,7,1,8,2,2,2,1,1,1,1,0,2,2,0,5,5,4,36,0,1,1,3,0,0,0,85
2024-03-02 06:00:00,0,9,1,14,4,2,3,1,1,4,0,0,0,0,0,7,2,6,4,1,0,2,0,0,1,0,62
2024-03-02 06:10:00,0,7,0,8,3,3,2,2,2,3,3,0,4,1,0,13,7,11,4,1,1,5,1,1,0,0,82
2024-03-02 06:20:00,0,8,3,8,0,0,0,2,2,2,0,0,0,1,0,10,6,8,11,0,1,3,2,0,2,0,69
2024-03-02 06:30:00,0,7,1,7,2,1,1,0,0,0,5,0,4,1,0,10,8,10,4,3,1,3,5,0,1,0,74
2024-03-02 06:40:00,0,9,1,9,6,2,3,1,1,1,3,0,7,0,0,16,10,13,4,1,1,5,1,0,0,0,94
2024-03-02 06:50:00,0,10,0,10,3,4,3,0,0,0,1,0,1,1,0,15,3,14,18,3,0,2,0,0,3,0,91
2024-03-02 07:00:00,0,9,1,8,2,0,0,1,1,1,2,0,2,0,0,16,6,16,4,2,3,2,4,0,0,0,80
2024-03-02 07:10:00,2,9,3,11,3,2,2,2,2,2,0,0,0,0,0,17,6,17,10,1,1,7,2,3,0,0,102
2024-03-02 07:20:00,0,11,1,9,4,2,1,0,1,1,3,0,3,1,0,16,7,11,6,1,2,2,2,1,1,0,86
2024-03-02 07:30:00,0,10,3,32,3,1,1,2,2,2,1,0,3,2,0,16,7,16,5,3,2,9,2,4,2,0,128
2024-03-02 07:40:00,0,12,0,8,5,2,6,2,2,2,0,0,0,0,0,21,9,18,26,1,0,4,0,1,2,0,121
2024-03-02 07:50:00,0,11,2,9,1,1,2,2,2,3,6,0,5,0,0,23,7,20,13,2,1,7,0,1,2,0,120
2024-03-02 08:00:00,0,15,0,12,3,1,1,5,4,10,2,0,4,1,0,19,3,13,13,5,2,3,2,0,0,0,118
2024-03-02 08:10:00,2,12,1,8,4,4,4,5,5,6,6,0,8,1,0,33,13,20,22,2,1,6,3,1,0,0,167
2024-03-02 08:20:00,2,20,4,14,2,3,4,4,4,6,6,0,4,0,0,25,17,16,8,1,2,9,3,2,0,0,156
2024-03-02 08:30:00,1,10,4,9,7,6,9,5,5,6,4,0,6,1,0,38,11,29,14,4,1,6,0,2,2,0,180
2024-03-02 08:40:00,3,25,2,10,9,3,4,2,2,2,7,0,6,0,0,40,14,29,13,2,1,14,1,5,3,0,197
2024-03-02 08:50:00,3,24,3,13,3,2,4,4,4,4,6,0,6,0,0,53,13,28,18,10,2,17,2,3,7,0,229
2024-03-02 09:00:00,0,32,7,23,5,2,3,8,9,12,9,0,9,2,0,58,22,24,20,6,1,11,1,2,5,0,271
2024-03-02 09:10:00,5,26,13,18,10,7,12,6,5,8,4,0,7,4,0,48,20,27,13,9,1,16,5,3,4,0,271
2024-03-02 09:20:00,3,28,6,22,11,6,10,6,6,7,7,0,8,1,0,58,21,36,19,4,1,23,2,7,3,0,295
2024-03-02 09:30:00,2,42,3,20,8,5,8,6,6,8,7,0,5,5,0,66,23,22,55,6,4,15,4,4,1,0,325
2024-03-02 09:40:00,6,48,2,19,8,6,8,8,7,9,12,0,11,0,0,72,26,27,17,9,3,19,5,5,3,0,330
2024-03-02 09:50:00,9,48,11,28,2,2,4,11,11,7,14,0,8,2,0,82,28,25,22,8,3,18,4,4,6,0,357
