datetime,D11Z,D12Z,D21Z,D22Z,D52Z,D81Z,D111Z,D112Z,D113Z,D114Z,Total
2024-03-03 07:00:00,2,3,3,6,7,0,4,3,4,1,33
2024-03-03 07:10:00,3,3,5,8,8,0,3,7,4,7,48
2024-03-03 07:20:00,0,0,1,1,5,0,3,2,3,1,16
2024-03-03 07:30:00,0,2,2,3,15,3,5,5,5,3,43
2024-03-03 07:40:00,3,3,1,4,8,0,5,5,6,5,40
2024-03-03 07:50:00,2,2,3,6,11,0,4,5,4,5,42
2024-03-03 08:00:00,3,8,6,9,3,1,4,9,4,9,56
2024-03-03 08:10:00,3,3,3,7,10,2,4,5,5,3,45
2024-03-03 08:20:00,3,3,7,10,10,2,7,6,6,6,60
2024-03-03 08:30:00,5,7,6,12,8,1,9,4,9,5,66
2024-03-03 08:40:00,3,3,6,7,11,1,16,11,16,8,82
2024-03-03 08:50:00,7,7,6,11,10,2,12,11,13,10,89
2024-03-03 09:00:00,5,8,6,11,15,0,9,10,11,7,82
2024-03-03 09:10:00,12,13,9,17,14,4,23,18,22,15,147
2024-03-03 09:20:00,8,8,14,22,11,2,18,21,11,20,135
2024-03-03 09:30:00,11,14,14,19,31,6,24,22,20,23,184
2024-03-03 09:40:00,15,16,12,27,16,4,34,22,34,20,200
2024-03-03 09:50:00,6,7,12,17,16,5,27,18,28,16,152
2024-03-03 10:00:00,12,15,10,19,18,5,23,15,23,12,152
2024-03-03 10:10:00,11,12,13,19,32,3,22,17,22,19,170
2024-03-03 10:20:00,8,8,10,17,21,4,17,10,17,11,123
2024-03-03 10:30:00,10,13,17,21,15,6,18,14,17,14,145
2024-03-03 10:40:00,16,15,9,28,18,2,20,15,20,13,156
2024-03-03 10:50:00,15,15,16,34,20,1,17,17,14,15,164
2024-03-03 11:00:00,14,14,15,27,29,4,18,13,9,14,157
2024-03-03 11:10:00,16,17,11,28,28,2,22,28,23,31,206
2024-03-03 11:20:00,16,16,12,26,26,3,18,27,17,21,182
2024-03-03 11:30:00,13,13,9,24,26,8,19,14,19,15,160
2024-03-03 11:40:00,8,10,12,19,47,3,22,19,24,18,182
2024-03-03 11:50:00,15,15,12,24,25,2,20,22,21,19,175
2024-03-03 12:00:00,20,23,13,33,34,6,30,19,32,19,229
2024-03-03 12:10:00,16,15,8,25,28,7,34,23,37,19,212
2024-03-03 12:20:00,21,20,17,34,29,5,43,21,43,20,253
2024-03-03 12:30:00,24,24,26,46,37,10,19,32,19,30,267
2024-03-03 12:40:00,17,19,12,26,31,5,33,24,33,27,227
2024-03-03 12:50:00,19,17,11,25,36,8,32,21,31,19,219
2024-03-03 13:00:00,13,14,10,21,36,8,26,28,27,29,212
2024-03-03 13:10:00,16,21,18,34,34,2,25,25,25,32,232
2024-03-03 13:20:00,25,26,15,35,40,3,19,14,17,14,208
2024-03-03 13:30:00,21,24,15,32,38,5,23,17,22,19,216
2024-03-03 13:40:00,13,10,7,17,43,6,28,19,27,14,184
2024-03-03 13:50:00,20,23,11,29,45,4,35,20,37,19,243
2024-03-03 14:00:00,23,23,17,35,51,5,34,22,34,23,267
2024-03-03 14:10:00,18,18,14,27,44,7,33,15,32,14,222
2024-03-03 14:20:00,21,19,16,35,32,9,31,29,33,29,254
2024-03-03 14:30:00,22,24,14,29,40,8,30,24,31,25,247
2024-03-03 14:40:00,19,18,17,34,49,5,30,22,30,21,245
2024-03-03 14:50:00,30,34,16,40,40,7,26,23,26,24,266
2024-03-03 15:00:00,23,25,16,35,46,7,32,27,35,24,270
2024-03-03 15:10:00,19,20,29,40,22,8,34,29,34,32,267
2024-03-03 15:20:00,24,24,20,36,34,2,24,17,22,18,221
2024-03-03 15:30:00,14,15,10,19,46,9,31,17,32,20,213
2024-03-03 15:40:00,18,20,18,41,44,4,32,21,28,25,251
2024-03-03 15:50:00,11,11,17,26,37,4,30,16,32,15,199
2024-03-03 16:00:00,14,15,13,22,49,4,21,24,22,25,209
2024-03-03 16:10:00,16,14,17,24,39,7,42,22,43,24,248
2024-03-03 16:20:00,14,16,16,25,40,5,29,24,30,19,218
2024-03-03 16:30:00,22,25,13,34,45,6,32,16,31,14,238
2024-03-03 16:40:00,10,14,17,26,43,7,38,22,39,22,238
2024-03-03 16:50:00,16,15,22,36,45,7,31,15,28,14,229
2024-03-03 17:00:00,24,23,15,33,37,2,35,25,37,22,253
2024-03-03 17:10:00,11,9,16,24,45,11,42,14,39,15,226
2024-03-03 17:20:00,13,13,15,27,44,10,34,19,34,21,230
2024-03-03 17:30:00,12,15,15,27,45,4,24,20,23,20,205
2024-03-03 17:40:00,26,23,18,36,50,9,30,24,37,25,278
2024-03-03 17:50:00,13,17,19,29,32,4,30,19,29,17,209
2024-03-03 18:00:00,15,18,15,28,39,8,22,25,21,24,215
