datetime,D11Z,D12Z,D13Z,D14Z,V15Z,V16Z,V17Z,D21Z,D22Z,D23Z,D24Z,V26Z,V27Z,V28Z,V29Z,D31Z,D32Z,D33Z,D34Z,V36Z,V37Z,V38Z,V39Z,V40Z,V41Z,V42Z,D43Z,V45Z,V46Z,V47Z,V48Z,Total
2024-03-01 17:10:00,7,46,28,14,12,21,9,23,46,25,12,10,25,21,8,6,30,21,26,7,23,16,16,0,39,19,15,15,18,14,11,583
2024-03-01 17:20:00,6,42,23,22,16,13,14,8,37,20,16,8,23,18,13,9,31,22,14,10,19,18,11,0,24,27,16,4,17,15,14,530
2024-03-01 17:30:00,6,43,25,13,14,14,10,5,47,31,17,9,38,20,10,12,27,18,19,7,18,18,13,0,35,21,11,10,25,16,9,561
2024-03-01 17:40:00,5,41,26,15,16,17,11,9,37,28,12,12,22,27,7,12,28,22,29,13,15,17,18,0,35,20,14,9,19,13,14,563
2024-03-01 17:50:00,9,41,33,16,15,19,11,5,36,34,31,5,22,24,10,13,26,27,26,10,21,19,14,0,31,20,16,14,18,14,10,590
2024-03-01 18:00:00,6,30,24,17,14,13,13,3,50,22,22,4,33,25,10,6,22,20,22,6,16,12,13,0,38,27,13,12,24,13,10,540
2024-03-01 18:10:00,3,32,17,11,20,13,9,7,45,37,20,10,33,25,23,15,28,23,22,10,16,17,15,0,34,23,12,7,22,16,12,577
2024-03-01 18:20:00,3,39,22,11,24,24,6,12,27,132,23,19,25,31,15,16,26,22,21,9,28,22,9,0,42,30,12,12,21,25,10,718
2024-03-01 18:30:00,4,30,26,7,19,20,8,5,44,22,21,6,28,32,13,10,31,20,12,15,26,25,15,0,31,15,17,12,24,19,11,568
2024-03-01 18:40:00,4,36,17,12,18,14,12,6,37,23,18,8,24,29,20,13,27,24,15,16,29,24,21,0,27,42,10,12,27,14,9,588
2024-03-01 18:50:00,8,35,29,11,24,20,9,6,44,22,22,11,27,31,21,12,26,12,22,12,18,13,19,0,22,15,11,7,24,25,11,569
2024-03-01 19:00:00,11,35,21,8,16,19,9,10,39,21,21,12,26,32,12,15,23,15,13,12,20,15,21,0,28,13,12,5,32,34,15,565
2024-03-01 19:10:00,7,41,24,14,17,20,6,7,27,17,16,13,21,25,12,8,22,19,19,6,20,22,17,0,25,17,12,6,28,24,11,523
2024-03-01 19:20:00,3,33,15,12,16,14,13,10,29,21,18,17,26,27,14,11,21,16,17,20,22,13,20,0,20,15,11,6,17,15,11,503
2024-03-01 19:30:00,9,24,20,7,13,13,23,7,32,16,19,14,28,31,20,11,22,10,19,10,17,15,19,0,23,13,13,8,27,28,15,526
2024-03-01 19:40:00,5,30,10,9,17,13,8,7,31,27,9,11,25,33,8,7,19,15,10,6,20,17,8,0,28,14,12,6,38,13,11,467
2024-03-01 19:50:00,6,32,14,4,21,14,8,5,19,8,14,8,21,24,14,11,23,19,12,11,18,20,19,0,27,10,8,7,29,19,7,452
2024-03-01 20:00:00,0,60,16,5,16,15,4,5,25,10,9,9,24,22,7,7,13,9,14,7,12,11,18,0,17,15,8,11,18,9,10,406
2024-03-01 20:10:00,21,17,8,4,19,8,4,3,26,17,14,8,22,22,11,7,17,11,20,8,15,19,24,0,24,15,12,5,20,31,13,445
2024-03-01 20:20:00,7,25,18,4,22,13,6,5,23,9,10,6,19,14,10,10,11,13,9,10,10,12,10,0,23,20,11,5,28,26,9,398
2024-03-01 20:30:00,2,22,20,4,15,17,2,3,30,11,11,5,23,21,7,6,11,14,8,4,10,20,14,0,18,6,12,5,22,12,11,366
2024-03-01 20:40:00,1,25,11,3,16,13,4,3,19,9,12,3,15,14,15,8,9,13,16,11,13,11,22,0,18,9,13,4,17,12,12,351
2024-03-01 20:50:00,4,51,7,2,22,12,3,5,18,8,10,6,22,23,11,3,15,6,12,6,17,9,11,0,16,9,11,7,20,13,11,370
