datetime,D21Z,D22Z,V23Z,V24Z,V51Z,D81Z,V82Z,V111Z,V112Z,Total
2024-03-03 20:40:00,5,4,5,8,23,6,6,0,7,64
2024-03-03 20:50:00,2,5,2,11,20,3,0,1,5,49
2024-03-03 21:00:00,2,2,2,4,29,4,3,0,2,48
2024-03-03 21:10:00,3,1,4,3,28,4,5,0,1,49
2024-03-03 21:20:00,2,2,4,4,21,5,3,0,0,41
2024-03-03 21:30:00,2,3,4,3,25,1,0,0,2,40
2024-03-03 21:40:00,3,8,5,13,22,4,0,0,2,57
2024-03-03 21:50:00,5,1,7,10,19,2,1,0,3,48
2024-03-03 22:00:00,3,3,4,9,23,4,3,0,3,52
2024-03-03 22:10:00,2,2,3,5,25,3,3,0,0,43
