datetime,V21Z,V22Z,D51Z,D81Z,D82Z,D91Z,D41Z,V83Z,V84Z,V92Z,V43Z,V44Z,Total
2024-03-03 00:00:00,0,0,2,23,21,5,0,45,36,30,2,1,165
2024-03-03 00:10:00,0,0,0,29,18,8,0,45,29,22,5,6,162
2024-03-03 00:20:00,0,0,0,24,24,2,0,36,27,25,4,7,149
2024-03-03 00:30:00,0,0,1,14,18,5,0,33,34,26,2,5,138
2024-03-03 00:40:00,0,0,0,10,12,0,0,25,18,10,5,5,85
2024-03-03 00:50:00,0,0,0,13,22,1,0,25,34,26,1,3,125
2024-03-03 01:00:00,0,0,0,20,15,4,0,28,34,19,5,5,130
2024-03-03 01:10:00,0,0,2,19,14,1,0,34,21,11,5,0,107
2024-03-03 01:20:00,0,0,1,11,17,1,0,28,28,19,0,4,109
2024-03-03 01:30:00,0,0,0,6,9,7,0,15,19,14,1,3,74
2024-03-03 01:40:00,0,0,0,13,7,2,0,21,13,9,2,1,68
2024-03-03 01:50:00,0,0,1,8,5,1,0,20,12,6,3,3,59
2024-03-03 02:00:00,0,0,2,13,13,4,0,24,24,13,0,5,98
2024-03-03 02:10:00,0,0,0,5,14,0,0,18,24,15,0,2,78
2024-03-03 02:20:00,0,0,0,2,8,0,0,14,15,11,4,1,55
2024-03-03 02:30:00,0,0,0,7,4,0,0,19,10,2,1,1,44
2024-03-03 02:40:00,0,0,0,10,10,0,0,15,17,11,0,3,66
2024-03-03 02:50:00,0,0,0,3,7,1,0,13,14,5,0,0,43
2024-03-03 03:00:00,0,0,0,6,6,0,0,12,10,9,2,1,46
2024-03-03 03:10:00,0,0,0,5,7,0,0,17,12,7,3,0,51
2024-03-03 03:20:00,0,0,0,6,11,1,0,17,16,15,2,0,68
2024-03-03 03:30:00,0,0,0,3,4,0,0,8,6,3,0,0,24
2024-03-03 03:40:00,0,0,0,7,5,1,0,15,11,6,0,0,45
2024-03-03 03:50:00,0,0,0,11,4,0,0,19,10,5,0,1,50
2024-03-03 04:00:00,0,0,1,12,9,2,0,22,13,9,0,1,69
2024-03-03 04:10:00,0,0,0,3,8,1,0,10,14,10,0,0,46
2024-03-03 04:20:00,0,0,0,3,5,0,0,12,9,5,0,0,34
2024-03-03 04:30:00,0,0,0,4,10,0,0,14,14,11,0,1,54
2024-03-03 04:40:00,0,0,0,5,3,4,0,6,5,7,0,2,32
2024-03-03 04:50:00,0,0,0,5,4,2,0,14,8,4,1,2,40
2024-03-03 05:00:00,0,0,0,7,10,0,0,17,19,9,0,1,63
2024-03-03 05:10:00,0,0,0,6,8,0,0,19,17,7,0,2,59
2024-03-03 05:20:00,0,0,0,2,3,2,0,9,7,6,1,3,33
2024-03-03 05:30:00,0,0,0,3,10,4,0,13,17,9,0,0,56
2024-03-03 05:40:00,0,0,0,6,10,0,0,18,24,9,0,0,67
2024-03-03 05:50:00,0,0,0,3,4,2,0,5,7,6,1,1,29
