datetime,V21Z,V22Z,V51Z,V52Z,V61Z,V62Z,V81Z,V82Z,D53Z,D54Z,D55Z,D63Z,D64Z,Total
2024-03-03 01:20:00,7,21,2,6,19,0,7,11,4,4,4,9,0,94
2024-03-03 01:30:00,9,12,11,14,19,0,4,6,11,5,11,14,1,117
2024-03-03 01:40:00,4,16,7,16,13,0,4,5,6,5,6,13,1,96
2024-03-03 01:50:00,0,10,9,17,22,0,5,6,10,4,9,16,1,109
2024-03-03 02:00:00,13,19,5,13,11,0,9,6,7,7,6,6,2,104
2024-03-03 02:10:00,3,9,4,13,10,0,4,9,7,5,5,9,2,80
2024-03-03 02:20:00,12,34,15,19,16,0,1,0,12,4,13,8,5,139
2024-03-03 02:30:00,3,6,5,10,11,0,2,5,7,7,6,8,1,71
2024-03-03 02:40:00,5,12,6,15,13,0,5,7,5,2,4,8,2,84
2024-03-03 02:50:00,2,19,6,12,10,0,0,2,6,5,7,8,1,78
2024-03-03 03:00:00,7,16,3,10,24,0,4,1,4,0,3,12,1,85
2024-03-03 03:10:00,5,12,2,7,5,0,1,7,2,4,2,4,0,51
2024-03-03 03:20:00,3,9,5,7,8,0,3,5,7,2,7,5,1,62
2024-03-03 03:30:00,3,7,3,12,8,0,1,4,4,2,4,6,1,55
2024-03-03 03:40:00,3,8,2,3,4,2,7,2,2,1,2,3,2,41
2024-03-03 03:50:00,1,10,0,3,6,0,3,2,0,0,0,9,2,36
2024-03-03 04:00:00,0,6,4,9,3,0,6,5,3,3,3,2,1,45
2024-03-03 04:10:00,7,13,3,8,13,1,3,6,3,1,3,7,1,69
2024-03-03 04:20:00,4,8,2,6,4,0,1,5,2,2,2,3,1,40
2024-03-03 04:30:00,7,6,7,6,1,0,4,3,4,1,4,2,1,46
2024-03-03 04:40:00,3,8,4,7,11,0,4,0,5,3,5,5,0,55
2024-03-03 04:50:00,5,8,3,7,7,0,7,0,4,3,4,5,0,53
2024-03-03 05:00:00,5,4,7,11,6,1,6,5,6,3,6,5,2,67
2024-03-03 05:10:00,5,13,8,8,8,0,3,6,6,3,6,4,0,70
2024-03-03 05:20:00,1,16,4,17,18,0,8,1,3,1,3,12,3,87
2024-03-03 05:30:00,7,9,11,11,10,0,6,6,8,4,8,5,0,85
2024-03-03 05:40:00,4,3,8,14,13,0,4,8,5,3,5,8,0,75
2024-03-03 05:50:00,4,13,3,11,16,0,5,4,2,1,2,10,1,72
2024-03-03 06:00:00,7,8,4,11,13,0,3,2,4,2,4,10,0,68
2024-03-03 06:10:00,8,11,4,6,5,0,2,3,5,2,5,4,0,55
2024-03-03 06:20:00,7,11,4,14,11,0,2,2,5,4,5,6,0,71
2024-03-03 06:30:00,4,3,7,20,30,0,4,7,6,3,6,22,3,115
2024-03-03 06:40:00,4,10,8,17,17,0,2,3,11,5,9,11,2,99
2024-03-03 06:50:00,3,6,2,7,7,0,2,4,4,2,3,7,0,47
2024-03-03 07:00:00,3,3,4,3,6,0,3,1,4,3,4,5,0,39
2024-03-03 07:10:00,4,5,2,7,6,0,3,0,2,6,2,7,0,44
2024-03-03 07:20:00,5,1,5,4,5,1,2,2,3,1,3,4,0,36
2024-03-03 07:30:00,2,1,3,2,7,0,4,5,4,2,4,7,0,41
2024-03-03 07:40:00,6,8,2,3,8,0,8,2,2,3,2,9,2,55
2024-03-03 07:50:00,3,3,3,3,6,0,4,2,4,3,3,6,0,40
2024-03-03 08:00:00,4,6,5,5,10,0,5,7,6,5,6,10,0,69
2024-03-03 08:10:00,6,6,6,10,14,0,5,6,5,11,5,17,1,92
