datetime,V11Z,V12Z,V13Z,D21Z,V31Z,V32Z,V33Z,V41Z,V42Z,V43Z,V14Z,V40Z,Total
2024-03-03 01:20:00,1,12,6,0,0,13,15,9,1,2,4,0,63
2024-03-03 01:30:00,0,11,6,0,0,7,11,7,5,0,2,0,49
2024-03-03 01:40:00,0,8,3,0,0,7,12,5,1,1,3,0,40
2024-03-03 01:50:00,3,8,3,0,0,11,14,4,1,2,4,0,50
2024-03-03 02:00:00,2,11,6,0,0,4,8,8,2,2,0,1,44
2024-03-03 02:10:00,1,10,5,0,0,5,9,6,1,2,0,0,39
2024-03-03 02:20:00,0,8,5,0,0,3,6,7,5,3,2,0,39
2024-03-03 02:30:00,1,10,6,0,0,5,9,1,1,2,4,1,40
2024-03-03 02:40:00,0,3,2,0,0,4,6,4,1,2,1,0,23
2024-03-03 02:50:00,0,5,3,0,0,0,0,5,2,6,0,0,21
2024-03-03 03:00:00,1,4,3,0,1,2,4,4,4,2,1,2,28
2024-03-03 03:10:00,1,5,2,0,0,5,6,5,3,3,1,0,31
2024-03-03 03:20:00,1,8,2,0,0,4,6,1,4,3,2,0,31
2024-03-03 03:30:00,2,8,4,0,0,6,6,3,1,0,1,0,31
2024-03-03 03:40:00,0,3,1,0,0,6,9,1,2,3,2,0,27
2024-03-03 03:50:00,4,4,4,0,0,1,5,3,1,0,0,1,23
2024-03-03 04:00:00,0,2,1,0,0,6,9,2,1,1,0,0,22
2024-03-03 04:10:00,0,3,2,0,0,3,6,3,2,1,3,1,24
2024-03-03 04:20:00,0,4,3,0,0,5,6,2,2,4,1,0,27
2024-03-03 04:30:00,0,5,4,0,0,2,3,2,1,2,1,0,20
2024-03-03 04:40:00,0,4,2,0,0,3,6,4,1,2,0,0,22
2024-03-03 04:50:00,0,3,2,0,0,4,7,6,2,1,0,2,27
2024-03-03 05:00:00,1,4,3,0,0,4,5,1,3,3,1,1,26
2024-03-03 05:10:00,0,5,3,0,0,8,11,2,1,2,1,0,33
2024-03-03 05:20:00,0,2,0,0,0,5,10,4,2,1,2,0,26
2024-03-03 05:30:00,2,9,4,0,1,6,8,2,1,5,4,0,42
2024-03-03 05:40:00,0,9,5,0,0,5,10,1,4,3,2,0,39
2024-03-03 05:50:00,1,6,5,0,0,5,7,2,0,6,0,1,33
2024-03-03 06:00:00,0,11,2,0,0,8,15,2,0,1,1,0,40
2024-03-03 06:10:00,3,9,3,0,0,5,10,8,3,2,3,1,47
2024-03-03 06:20:00,2,1,1,0,0,4,6,7,4,3,1,0,29
2024-03-03 06:30:00,2,10,2,0,0,0,3,3,3,4,1,1,29
2024-03-03 06:40:00,1,8,1,0,0,6,9,2,1,0,3,0,31
2024-03-03 06:50:00,0,9,0,0,0,3,9,4,1,3,2,1,32
2024-03-03 07:00:00,2,4,1,0,0,0,3,9,4,1,4,0,28
2024-03-03 07:10:00,0,4,0,0,0,0,2,6,4,2,2,0,20
2024-03-03 07:20:00,0,1,2,0,0,0,5,3,0,0,0,0,11
2024-03-03 07:30:00,2,10,1,0,0,0,5,10,4,5,2,0,39
2024-03-03 07:40:00,2,3,1,0,0,0,8,7,3,5,1,0,30
2024-03-03 07:50:00,2,8,1,0,0,0,9,4,2,3,4,1,34
2024-03-03 08:00:00,2,8,1,0,0,0,9,7,2,5,3,0,37
2024-03-03 08:10:00,14,8,2,0,0,0,7,8,2,5,3,2,51
2024-03-03 08:20:00,1,4,1,0,0,0,13,10,5,3,3,1,41
2024-03-03 08:30:00,0,9,2,0,0,0,18,10,5,1,1,2,48
2024-03-03 08:40:00,6,11,1,0,0,0,8,11,4,3,1,0,45
2024-03-03 08:50:00,4,16,1,0,0,0,21,14,9,10,1,3,79
2024-03-03 09:00:00,3,14,1,0,0,0,12,20,4,7,2,0,63
2024-03-03 09:10:00,5,21,5,0,0,0,9,22,19,19,6,2,108
2024-03-03 09:20:00,6,26,5,0,0,0,23,27,6,11,6,2,112
2024-03-03 09:30:00,4,18,4,0,0,1,19,23,14,8,7,5,103
2024-03-03 09:40:00,5,20,8,0,0,3,20,41,22,19,10,3,151
2024-03-03 09:50:00,10,20,6,0,0,0,34,35,23,19,11,1,159
