datetime,D21Z,V22Z,D51Z,V52Z,D81Z,V82Z,D111Z,V112Z,Total
2024-03-03 21:50:00,6,3,7,27,4,2,19,20,88
2024-03-03 22:00:00,0,0,5,32,2,2,39,31,111
2024-03-03 22:10:00,2,2,5,22,2,1,36,28,98
2024-03-03 22:20:00,4,3,3,19,3,1,22,23,78
2024-03-03 22:30:00,1,1,1,19,2,1,21,19,65
2024-03-03 22:40:00,0,0,2,15,3,3,16,21,60
2024-03-03 22:50:00,0,0,3,21,4,4,30,19,81
2024-03-03 23:00:00,1,0,1,13,1,1,14,12,43
2024-03-03 23:10:00,0,0,1,8,0,0,8,10,27
2024-03-03 23:20:00,0,0,1,8,5,5,9,10,38
2024-03-03 23:30:00,1,0,1,11,1,0,7,5,26
2024-03-03 23:40:00,1,0,0,3,5,5,11,10,35
2024-03-03 23:50:00,4,3,1,6,1,1,13,15,44
2024-03-04 00:00:00,0,0,0,10,0,0,8,10,28
2024-03-04 00:10:00,1,2,0,6,0,0,14,14,37
2024-03-04 00:20:00,0,0,0,5,2,4,4,5,20
2024-03-04 00:30:00,0,0,1,6,2,1,4,4,18
2024-03-04 00:40:00,0,0,1,7,0,0,2,2,12
2024-03-04 00:50:00,0,0,0,5,1,1,5,6,18
2024-03-04 01:00:00,1,0,1,2,0,0,0,0,4
2024-03-04 01:10:00,0,0,1,2,0,0,2,3,8
2024-03-04 01:20:00,0,0,1,3,1,2,4,4,15
2024-03-04 01:30:00,2,1,0,5,2,1,3,3,17
2024-03-04 01:40:00,0,0,0,7,1,1,3,3,15
2024-03-04 01:50:00,0,0,0,5,0,0,4,4,13
2024-03-04 02:00:00,0,0,1,2,0,1,3,4,11
2024-03-04 02:10:00,0,0,0,3,0,1,0,0,4
2024-03-04 02:20:00,0,0,0,2,0,0,2,3,7
2024-03-04 02:30:00,0,0,0,3,0,0,0,0,3
2024-03-04 02:40:00,0,0,1,5,0,0,3,4,13
2024-03-04 02:50:00,0,0,0,4,0,0,3,4,11
