datetime,D1Z,D2Z,D3Z,D4Z,D5Z,D6Z,D7Z,D8Z,D9Z,D10Z,D11Z,D12Z,D13Z,D14Z,D15Z,D16Z,D17Z,D18Z,D19Z,D20Z,D21Z,D22Z,D23Z,D24Z,Total
2024-03-02 08:20:00,0,8,0,13,6,6,7,7,12,12,0,0,0,0,6,0,13,13,0,0,6,5,12,12,138
2024-03-02 08:30:00,0,10,0,16,16,16,16,15,11,13,0,0,0,0,7,0,22,22,0,0,7,7,20,20,218
2024-03-02 08:40:00,0,21,1,23,12,13,12,10,20,20,0,0,0,0,8,0,26,26,0,0,7,7,26,26,258
2024-03-02 08:50:00,0,22,0,34,27,26,26,26,26,26,0,0,2,2,11,0,44,44,0,0,10,10,38,38,412
2024-03-02 09:00:00,0,22,0,38,24,25,25,25,33,33,0,0,0,0,16,0,43,46,0,0,14,14,41,41,440
2024-03-02 09:10:00,0,28,1,35,16,16,16,15,30,30,0,0,0,0,10,0,38,38,0,0,9,9,34,34,359
2024-03-02 09:20:00,0,31,0,43,20,22,21,20,40,41,0,0,0,0,13,0,47,47,0,0,12,12,42,42,453
2024-03-02 09:30:00,1,35,1,42,30,29,30,28,33,34,0,0,0,0,13,0,53,53,0,0,10,10,53,53,508
2024-03-02 09:40:00,0,50,1,69,23,23,23,24,55,56,0,0,0,0,21,0,60,59,0,0,20,20,46,46,596
2024-03-02 09:50:00,0,46,0,60,35,34,31,27,44,47,0,0,0,0,15,0,64,65,0,0,15,15,58,58,614
2024-03-02 10:00:00,0,49,1,67,20,20,18,19,55,59,0,0,0,0,16,0,63,62,0,0,16,16,46,45,572
2024-03-02 10:10:00,0,42,3,76,38,36,33,30,58,59,0,0,0,0,26,0,70,69,0,0,23,23,60,60,706
2024-03-02 10:20:00,0,38,1,63,48,47,48,47,50,54,0,0,1,1,26,0,84,87,0,0,20,20,76,74,785
2024-03-02 10:30:00,0,49,0,64,36,38,38,37,56,53,0,0,0,0,26,0,75,74,0,0,19,18,59,63,705
2024-03-02 10:40:00,0,50,0,79,28,28,28,27,56,56,0,0,0,0,22,0,63,66,0,0,17,17,61,61,659
2024-03-02 10:50:00,0,58,0,79,45,48,48,45,67,69,0,0,0,0,28,0,92,94,0,0,26,27,74,74,874
2024-03-02 11:00:00,0,62,0,81,47,50,49,46,71,72,0,0,0,0,26,0,97,99,0,0,19,17,86,86,908
2024-03-02 11:10:00,0,51,0,68,39,40,41,40,51,53,0,0,0,0,25,0,76,78,0,0,19,19,68,67,735
2024-03-02 11:20:00,0,63,1,88,70,51,50,49,72,73,0,0,0,0,29,0,97,97,0,0,24,24,86,86,960
2024-03-02 11:30:00,0,44,1,77,37,43,44,43,60,62,0,0,0,0,31,0,80,81,0,0,24,23,68,68,786
2024-03-02 11:40:00,0,35,1,81,43,44,43,43,72,72,0,0,0,0,34,0,90,90,0,0,33,32,79,79,871
2024-03-02 11:50:00,0,58,1,80,40,41,41,39,64,66,0,0,0,0,27,0,88,89,0,0,21,20,76,76,827
2024-03-02 12:00:00,0,46,1,69,46,49,49,45,58,59,0,0,0,0,23,0,81,83,0,0,18,18,75,75,795
