datetime,V21Z,V22Z,V81Z,V82Z,V321Z,Total
2024-03-04 04:30:00,0,1,4,7,0,12
2024-03-04 04:40:00,1,2,4,8,0,15
2024-03-04 04:50:00,1,4,5,9,0,19
2024-03-04 05:00:00,0,8,12,18,0,38
2024-03-04 05:10:00,1,9,19,17,0,46
2024-03-04 05:20:00,2,7,10,15,0,34
2024-03-04 05:30:00,1,5,30,25,0,61
2024-03-04 05:40:00,10,14,31,24,0,79
2024-03-04 05:50:00,8,20,32,17,0,77
2024-03-04 06:00:00,3,13,33,28,0,77
2024-03-04 06:10:00,3,30,24,22,1,80
2024-03-04 06:20:00,5,20,35,23,1,84
2024-03-04 06:30:00,6,17,42,34,0,99
2024-03-04 06:40:00,6,26,59,27,1,119
2024-03-04 06:50:00,11,24,44,25,2,106
2024-03-04 07:00:00,5,26,55,31,2,119
2024-03-04 07:10:00,10,30,57,33,3,133
2024-03-04 07:20:00,8,29,64,45,3,149
2024-03-04 07:30:00,14,31,56,40,8,149
2024-03-04 07:40:00,8,42,67,47,5,169
2024-03-04 07:50:00,10,26,61,42,5,144
2024-03-04 08:00:00,8,38,60,49,4,159
2024-03-04 08:10:00,3,27,60,39,6,135
2024-03-04 08:20:00,3,19,57,43,8,130
2024-03-04 08:30:00,3,30,56,41,6,136
2024-03-04 08:40:00,6,36,59,31,5,137
2024-03-04 08:50:00,6,33,87,46,3,175
2024-03-04 09:00:00,1,30,31,41,5,108
2024-03-04 09:10:00,0,23,39,41,6,109
2024-03-04 09:20:00,2,27,49,55,3,136
2024-03-04 09:30:00,1,34,41,62,4,142
2024-03-04 09:40:00,8,34,35,45,5,127
2024-03-04 09:50:00,2,40,37,54,4,137
2024-03-04 10:00:00,3,36,31,50,5,125
2024-03-04 10:10:00,0,33,34,38,6,111
2024-03-04 10:20:00,4,40,47,57,2,150
2024-03-04 10:30:00,7,54,41,52,3,157
2024-03-04 10:40:00,10,38,48,54,3,153
2024-03-04 10:50:00,8,40,37,42,5,132
2024-03-04 11:00:00,2,40,34,43,8,127
2024-03-04 11:10:00,2,41,32,58,7,140
2024-03-04 11:20:00,4,46,34,38,5,127
2024-03-04 11:30:00,0,44,39,54,4,141
2024-03-04 11:40:00,2,40,39,39,8,128
2024-03-04 11:50:00,1,43,37,47,8,136
2024-03-04 12:00:00,1,43,31,42,6,123
2024-03-04 12:10:00,3,35,36,48,4,126
2024-03-04 12:20:00,3,28,32,49,8,120
2024-03-04 12:30:00,2,39,37,38,4,120
2024-03-04 12:40:00,0,38,21,41,8,108
2024-03-04 12:50:00,7,33,29,45,6,120
2024-03-04 13:00:00,4,45,34,41,6,130
2024-03-04 13:10:00,6,37,23,34,7,107
2024-03-04 13:20:00,4,41,30,41,6,122
2024-03-04 13:30:00,4,50,24,41,6,125
2024-03-04 13:40:00,7,28,28,46,4,113
2024-03-04 13:50:00,1,45,27,41,2,116
2024-03-04 14:00:00,7,38,27,29,9,110
2024-03-04 14:10:00,4,42,22,36,3,107
2024-03-04 14:20:00,14,35,23,38,6,116
2024-03-04 14:30:00,7,44,13,35,5,104
2024-03-04 14:40:00,7,43,19,43,7,119
2024-03-04 14:50:00,9,32,22,37,7,107
2024-03-04 15:00:00,14,28,9,30,9,90
2024-03-04 15:10:00,19,31,13,34,8,105
2024-03-04 15:20:00,26,42,24,36,9,137
2024-03-04 15:30:00,39,60,27,44,6,176
2024-03-04 15:40:00,39,54,34,40,9,176
2024-03-04 15:50:00,21,44,32,37,5,139
2024-03-04 16:00:00,39,52,28,38,6,163
2024-03-04 16:10:00,28,30,35,41,7,141
2024-03-04 16:20:00,32,25,32,45,7,141
2024-03-04 16:30:00,35,35,25,34,4,133
2024-03-04 16:40:00,42,44,29,36,9,160
2024-03-04 16:50:00,44,46,29,42,4,165
2024-03-04 17:00:00,32,35,22,25,6,120
2024-03-04 17:10:00,36,41,25,34,6,142
2024-03-04 17:20:00,24,34,22,44,7,131
2024-03-04 17:30:00,42,45,30,39,9,165
2024-03-04 17:40:00,28,28,29,40,6,131
2024-03-04 17:50:00,28,25,22,34,6,115
2024-03-04 18:00:00,26,17,25,21,12,101
2024-03-04 18:10:00,30,26,28,24,5,113
2024-03-04 18:20:00,27,38,25,32,4,126
2024-03-04 18:30:00,33,31,10,18,4,96
2024-03-04 18:40:00,15,29,16,29,4,93
2024-03-04 18:50:00,21,28,12,28,3,92
2024-03-04 19:00:00,22,43,8,26,6,105
2024-03-04 19:10:00,30,26,19,24,4,103
2024-03-04 19:20:00,14,22,18,21,3,78
2024-03-04 19:30:00,25,18,5,21,5,74
2024-03-04 19:40:00,23,24,8,24,1,80
2024-03-04 19:50:00,18,19,13,24,3,77
2024-03-04 20:00:00,17,24,11,25,3,80
2024-03-04 20:10:00,20,42,12,26,2,102
2024-03-04 20:20:00,19,23,8,26,1,77
2024-03-04 20:30:00,17,33,8,21,1,80
2024-03-04 20:40:00,15,34,9,22,0,80
2024-03-04 20:50:00,11,17,5,28,1,62
2024-03-04 21:00:00,8,33,5,17,0,63
