datetime,V11Z,V12Z,D21Z,D22Z,V23Z,V24Z,V33Z,V31Z,V32Z,V41Z,D51Z,V52Z,V101Z,D111Z,V112Z,V122Z,Total
2024-03-02 18:50:00,35,45,34,34,33,15,0,28,0,49,24,46,38,22,43,24,470
2024-03-02 19:00:00,31,49,33,13,32,11,0,17,2,38,20,53,40,14,31,19,403
2024-03-02 19:10:00,63,52,52,16,30,13,0,23,4,40,24,48,51,20,33,12,481
2024-03-02 19:20:00,46,67,49,16,39,11,0,23,2,37,25,50,41,24,33,25,488
2024-03-02 19:30:00,47,56,45,22,31,16,0,19,1,28,22,39,29,20,37,27,439
2024-03-02 19:40:00,32,52,31,17,24,16,0,23,1,25,25,27,34,26,36,28,397
2024-03-02 19:50:00,43,49,42,25,37,27,0,32,7,39,29,41,45,30,33,25,504
2024-03-02 20:00:00,37,42,33,7,30,7,0,9,2,28,26,42,36,26,27,31,383
2024-03-02 20:10:00,36,42,33,10,21,12,0,14,2,27,17,30,68,22,20,22,376
2024-03-02 20:20:00,36,51,35,38,34,22,0,35,10,26,16,39,38,26,34,30,470
2024-03-02 20:30:00,35,54,32,19,33,16,0,21,3,31,25,39,36,22,31,27,424
2024-03-02 20:40:00,31,45,32,19,28,16,0,33,3,26,25,28,48,32,34,25,425
2024-03-02 20:50:00,17,24,19,11,23,8,0,14,2,28,25,40,25,18,23,19,296
2024-03-02 21:00:00,23,32,22,14,14,13,0,22,1,27,25,44,20,17,25,19,318
2024-03-02 21:10:00,27,42,24,13,26,12,0,17,9,32,15,39,16,16,16,26,330
2024-03-02 21:20:00,38,43,42,7,36,6,0,6,3,29,24,31,21,21,18,22,347
2024-03-02 21:30:00,18,27,16,6,19,7,0,13,5,22,19,27,13,22,15,22,251
2024-03-02 21:40:00,29,38,30,9,29,9,0,16,9,20,17,24,29,23,25,18,325
2024-03-02 21:50:00,28,33,30,9,24,8,0,12,2,25,31,30,28,21,23,10,314
2024-03-02 22:00:00,21,37,18,11,18,15,0,25,0,19,19,25,20,20,27,19,294
2024-03-02 22:10:00,28,34,30,12,20,12,0,19,2,26,30,36,16,26,24,18,333
2024-03-02 22:20:00,22,25,25,11,16,11,0,23,0,19,17,24,24,19,29,14,279
2024-03-02 22:30:00,14,24,15,8,19,8,0,12,2,20,27,39,20,18,20,16,262
2024-03-02 22:40:00,38,48,35,18,26,13,0,31,4,26,26,29,28,22,27,25,396
2024-03-02 22:50:00,28,40,28,9,21,10,0,14,1,18,17,22,20,27,22,19,296
