datetime,V22Z,V51Z,V52Z,V83Z,V111Z,V112Z,Total
2024-03-04 11:20:00,6,13,10,17,0,3,49
2024-03-04 11:30:00,7,22,14,20,0,0,63
2024-03-04 11:40:00,8,7,11,9,2,1,38
2024-03-04 11:50:00,7,16,11,23,0,1,58
2024-03-04 12:00:00,8,14,14,16,1,2,55
2024-03-04 12:10:00,3,9,14,16,0,7,49
2024-03-04 12:20:00,8,21,9,24,1,2,65
2024-03-04 12:30:00,8,12,14,20,0,3,57
2024-03-04 12:40:00,7,10,18,18,0,2,55
2024-03-04 12:50:00,5,13,16,19,2,2,57
2024-03-04 13:00:00,13,12,12,13,0,1,51
2024-03-04 13:10:00,23,13,12,12,3,5,68
2024-03-04 13:20:00,11,17,15,19,0,5,67
2024-03-04 13:30:00,14,9,13,17,0,7,60
2024-03-04 13:40:00,14,12,16,22,2,5,71
2024-03-04 13:50:00,11,10,11,20,0,6,58
2024-03-04 14:00:00,8,11,10,10,0,3,42
