datetime,D21Z,D22Z,D41Z,D42Z,D11Z,D12Z,D31Z,D32Z,Total
2024-03-03 16:10:00,51,27,18,29,0,0,2,0,127
2024-03-03 16:20:00,43,31,21,14,0,0,1,0,110
2024-03-03 16:30:00,39,24,18,8,0,0,3,0,92
2024-03-03 16:40:00,41,28,23,4,0,0,6,1,103
2024-03-03 16:50:00,41,28,16,3,0,0,3,0,91
2024-03-03 17:00:00,44,25,14,2,0,0,1,0,86
2024-03-03 17:10:00,49,31,12,3,0,0,1,0,96
2024-03-03 17:20:00,47,19,13,2,0,0,2,2,85
2024-03-03 17:30:00,42,28,20,0,0,0,1,0,91
2024-03-03 17:40:00,52,32,21,2,0,0,4,1,112
2024-03-03 17:50:00,30,24,15,3,0,0,5,1,78
2024-03-03 18:00:00,44,23,7,1,0,0,2,0,77
2024-03-03 18:10:00,48,21,12,2,0,0,1,2,86
2024-03-03 18:20:00,33,26,12,12,0,0,3,0,86
2024-03-03 18:30:00,29,27,16,0,0,0,1,0,73
2024-03-03 18:40:00,31,23,13,2,0,0,1,0,70
2024-03-03 18:50:00,37,28,12,0,0,0,1,0,78
2024-03-03 19:00:00,32,31,9,1,0,0,3,0,76
2024-03-03 19:10:00,32,19,20,2,0,0,2,0,75
2024-03-03 19:20:00,27,17,11,2,0,0,0,0,57
2024-03-03 19:30:00,32,19,12,0,0,0,2,1,66
2024-03-03 19:40:00,41,32,19,1,0,0,1,0,94
2024-03-03 19:50:00,19,16,7,0,0,0,1,0,43
2024-03-03 20:00:00,39,31,15,3,0,0,0,1,89
2024-03-03 20:10:00,30,23,9,0,0,0,1,0,63
2024-03-03 20:20:00,23,22,8,4,0,0,2,0,59
2024-03-03 20:30:00,19,17,10,1,0,0,0,0,47
2024-03-03 20:40:00,23,16,12,0,0,0,1,0,52
2024-03-03 20:50:00,19,20,6,2,0,0,3,0,50
2024-03-03 21:00:00,29,23,12,2,0,0,3,0,69
2024-03-03 21:10:00,20,19,5,3,0,0,1,0,48
2024-03-03 21:20:00,27,20,5,1,0,0,1,0,54
2024-03-03 21:30:00,20,16,4,3,0,0,0,0,43
2024-03-03 21:40:00,8,9,8,2,0,0,0,0,27
2024-03-03 21:50:00,24,21,9,0,0,0,0,0,54
2024-03-03 22:00:00,17,17,5,1,0,0,0,0,40
2024-03-03 22:10:00,29,26,6,0,0,0,1,0,62
2024-03-03 22:20:00,20,16,9,7,0,0,0,0,52
2024-03-03 22:30:00,10,13,6,0,0,0,0,0,29
2024-03-03 22:40:00,13,11,8,8,0,0,0,0,40
2024-03-03 22:50:00,3,3,6,2,0,0,0,0,14
2024-03-03 23:00:00,10,7,5,0,0,0,0,0,22
2024-03-03 23:10:00,4,4,6,2,0,0,0,0,16
2024-03-03 23:20:00,6,6,4,0,0,0,0,0,16
2024-03-03 23:30:00,4,3,4,2,0,0,0,0,13
2024-03-03 23:40:00,6,6,1,0,0,0,0,0,13
