datetime,D21Z,D22Z,V23Z,V24Z,D51Z,V52Z,D81Z,D82Z,V83Z,V84Z,D111Z,V112Z,D95Z,D911Z,Total
2024-03-02 14:00:00,70,5,19,7,13,12,54,3,26,2,35,20,56,10,332
2024-03-02 14:10:00,94,10,22,10,13,6,58,4,37,4,15,14,48,12,347
2024-03-02 14:20:00,85,10,14,7,8,3,56,6,30,4,26,16,68,9,342
2024-03-02 14:30:00,86,14,7,15,10,12,40,2,23,2,14,14,45,16,300
2024-03-02 14:40:00,78,3,20,4,14,14,52,2,27,2,26,12,66,10,330
2024-03-02 14:50:00,63,5,24,9,9,14,63,2,24,0,23,17,62,7,322
2024-03-02 15:00:00,68,2,24,2,6,4,69,0,34,0,12,9,55,5,290
2024-03-02 15:10:00,73,4,20,4,10,5,51,1,29,0,23,16,70,9,315
2024-03-02 15:20:00,59,4,19,2,4,3,41,4,27,3,26,19,56,4,271
2024-03-02 15:30:00,76,2,21,3,5,3,45,3,23,3,21,19,65,4,293
2024-03-02 15:40:00,61,3,18,2,13,8,48,1,39,1,30,19,60,10,313
2024-03-02 15:50:00,59,7,20,8,14,10,62,4,32,3,28,17,61,10,335
2024-03-02 16:00:00,54,5,17,7,11,6,49,1,19,0,23,20,74,11,297
2024-03-02 16:10:00,56,3,18,3,12,8,45,2,19,1,15,10,51,11,254
2024-03-02 16:20:00,49,5,26,1,12,16,50,2,31,3,19,13,98,10,335
2024-03-02 16:30:00,43,4,15,4,12,10,59,1,30,2,18,13,170,8,389
2024-03-02 16:40:00,58,6,21,3,5,5,64,3,25,2,17,11,180,3,403
2024-03-02 16:50:00,51,4,22,9,9,11,49,2,34,1,19,15,181,8,415
2024-03-02 17:00:00,62,4,20,3,7,5,52,2,34,1,32,23,152,8,405
2024-03-02 17:10:00,54,7,23,3,9,6,48,0,32,0,25,21,55,5,288
2024-03-02 17:20:00,64,6,21,3,10,10,54,3,22,1,54,9,47,8,312
2024-03-02 17:30:00,61,10,20,10,8,9,68,9,30,6,19,17,58,6,331
2024-03-02 17:40:00,64,5,16,4,13,12,81,1,25,3,23,14,52,14,327
2024-03-02 17:50:00,59,8,18,8,9,13,99,5,18,2,20,15,61,7,342
2024-03-02 18:00:00,51,6,19,4,10,12,80,3,33,2,26,14,113,9,382
2024-03-02 18:10:00,66,3,18,2,13,14,35,0,23,0,16,9,96,11,306
2024-03-02 18:20:00,55,7,28,11,8,9,65,6,4,9,16,11,236,12,477
2024-03-02 18:30:00,56,2,34,1,10,11,52,5,21,2,12,12,149,7,374
2024-03-02 18:40:00,64,2,21,1,10,7,61,3,22,3,13,17,46,9,279
2024-03-02 18:50:00,40,7,31,6,3,4,71,3,19,1,20,18,53,6,282
2024-03-02 19:00:00,30,4,15,2,3,2,41,2,25,2,11,16,39,4,196
2024-03-02 19:10:00,55,7,30,3,9,9,36,4,21,0,13,16,55,7,265
2024-03-02 19:20:00,56,5,16,4,3,2,47,0,27,0,23,15,60,4,262
2024-03-02 19:30:00,49,4,30,2,9,7,44,1,20,0,10,12,35,7,230
2024-03-02 19:40:00,34,4,19,2,7,7,50,5,29,3,19,14,45,7,245
2024-03-02 19:50:00,45,3,19,3,6,7,33,0,20,0,8,5,52,7,208
2024-03-02 20:00:00,42,3,30,3,4,5,37,9,27,0,16,13,48,5,242
2024-03-02 20:10:00,42,1,28,1,5,7,36,4,21,2,7,11,40,6,211
2024-03-02 20:20:00,45,3,30,4,3,3,32,1,12,0,14,12,31,4,194
2024-03-02 20:30:00,31,4,25,5,3,3,29,2,25,0,8,8,31,5,179
2024-03-02 20:40:00,30,2,20,0,6,9,47,1,20,0,10,8,75,5,233
2024-03-02 20:50:00,34,2,21,1,3,0,31,0,24,0,14,12,42,2,186
