datetime,D21Z,V22Z,D31Z,D32Z,V33Z,D51Z,D52Z,D53Z,D54Z,V55Z,V56Z,V57Z,V58Z,V71Z,D81Z,V82Z,D91Z,D92Z,V93Z,D111Z,D112Z,D113Z,V114Z,V115Z,V116Z,Total
2024-03-02 07:10:00,5,4,1,1,1,1,4,10,2,0,9,8,1,3,9,9,4,2,1,10,9,2,19,8,2,125
2024-03-02 07:20:00,4,4,1,3,1,2,10,22,3,3,13,10,10,1,7,7,6,5,0,11,13,5,18,12,3,174
2024-03-02 07:30:00,11,8,7,4,2,2,2,17,1,2,19,3,1,1,10,14,8,8,3,8,12,4,6,8,8,169
2024-03-02 07:40:00,8,7,0,0,0,1,8,14,7,1,11,7,7,3,9,10,6,4,2,13,11,2,9,8,2,150
2024-03-02 07:50:00,19,10,4,2,1,1,9,19,5,1,14,11,7,5,14,10,10,6,1,11,6,5,12,3,6,192
2024-03-02 08:00:00,8,8,5,3,2,3,6,20,5,3,13,17,5,1,12,15,11,5,2,12,15,9,11,14,6,211
2024-03-02 08:10:00,18,12,2,2,2,5,7,24,6,8,21,13,7,4,12,8,5,1,0,19,15,4,13,14,6,228
2024-03-02 08:20:00,16,10,4,6,3,7,18,33,8,10,20,15,12,3,21,15,12,5,3,17,20,9,11,13,13,304
2024-03-02 08:30:00,18,9,6,5,2,5,16,32,6,5,16,17,10,7,19,17,15,9,7,19,23,9,14,18,9,313
2024-03-02 08:40:00,16,11,2,1,2,1,18,33,11,1,15,10,6,10,30,19,19,12,1,18,30,11,10,16,10,313
2024-03-02 08:50:00,29,9,13,11,8,2,27,34,9,3,18,16,19,7,27,13,15,12,7,21,23,13,15,11,11,373
2024-03-02 09:00:00,34,15,8,13,6,6,17,27,9,8,21,15,14,6,30,14,13,9,5,19,12,9,16,12,9,347
2024-03-02 09:10:00,31,19,4,6,4,5,17,39,6,7,17,13,11,12,26,21,9,9,4,27,30,13,17,24,12,383
2024-03-02 09:20:00,42,13,9,6,5,9,15,33,17,7,20,14,9,9,31,12,13,9,5,33,27,10,26,21,10,405
2024-03-02 09:30:00,30,15,11,11,5,10,36,41,5,11,13,21,15,10,30,13,20,15,10,32,34,12,10,26,12,448
2024-03-02 09:40:00,43,12,9,9,6,4,18,30,13,4,19,15,16,7,43,14,15,16,7,72,27,18,18,16,19,470
2024-03-02 09:50:00,39,16,8,7,4,18,28,46,11,17,27,19,17,13,51,16,20,11,6,64,30,16,25,17,14,540
2024-03-02 10:00:00,29,14,10,8,6,12,25,38,10,7,22,15,12,10,49,19,16,6,5,76,35,15,22,17,11,489
2024-03-02 10:10:00,50,10,4,7,4,12,19,45,10,15,24,15,8,14,42,20,22,13,7,32,31,12,16,15,9,456
2024-03-02 10:20:00,54,16,10,6,3,10,20,41,10,16,21,18,14,17,53,14,21,20,11,24,34,13,14,17,13,490
2024-03-02 10:30:00,49,13,6,6,5,2,19,37,11,3,19,17,11,9,51,9,18,8,4,34,37,10,21,13,14,426
2024-03-02 10:40:00,50,15,8,8,6,12,35,53,16,12,25,15,20,20,46,19,19,8,5,41,40,23,19,19,14,548
2024-03-02 10:50:00,57,9,11,12,6,5,25,48,11,5,20,15,11,12,44,17,16,16,9,58,47,19,20,16,14,523
2024-03-02 11:00:00,49,15,5,12,5,6,25,27,12,5,24,22,11,10,50,15,22,11,8,36,25,14,22,13,9,453
