datetime,D21Z,D22Z,V23Z,V24Z,D51Z,D52Z,V53Z,V54Z,D81Z,D82Z,V83Z,V84Z,D111Z,D112Z,V113Z,V114Z,Total
2024-03-02 17:20:00,37,3,19,7,0,0,23,7,17,10,12,9,4,4,4,1,157
2024-03-02 17:30:00,49,5,22,1,0,0,22,7,21,17,13,17,7,7,6,2,196
2024-03-02 17:40:00,34,5,22,2,0,0,30,6,27,16,19,17,7,6,6,1,198
2024-03-02 17:50:00,33,4,18,4,0,0,23,6,16,16,17,15,4,4,3,3,166
2024-03-02 18:00:00,41,8,27,8,0,0,24,7,29,15,14,14,6,4,6,2,205
2024-03-02 18:10:00,42,9,16,10,0,0,24,9,21,9,22,7,6,10,3,6,194
2024-03-02 18:20:00,45,8,22,5,0,0,20,15,20,12,14,9,5,3,5,2,185
2024-03-02 18:30:00,52,9,23,12,0,0,25,6,15,13,22,9,4,7,6,1,204
2024-03-02 18:40:00,40,3,28,6,0,0,25,10,15,8,20,7,3,8,3,0,176
2024-03-02 18:50:00,31,5,21,4,0,0,21,8,13,17,10,11,3,4,3,0,151
2024-03-02 19:00:00,33,6,28,7,0,0,29,5,23,15,32,13,5,0,4,0,200
2024-03-02 19:10:00,47,7,20,3,0,0,36,5,13,9,15,5,5,7,7,2,181
2024-03-02 19:20:00,49,7,27,4,0,0,26,4,16,12,14,10,3,2,4,0,178
2024-03-02 19:30:00,35,13,24,7,0,0,18,6,13,9,12,6,7,3,5,1,159
2024-03-02 19:40:00,29,7,19,4,0,0,15,4,17,8,19,5,3,2,1,0,133
2024-03-02 19:50:00,28,2,24,1,0,0,24,2,10,8,15,6,5,1,4,0,130
2024-03-02 20:00:00,36,7,19,3,0,0,18,10,21,4,28,5,2,5,2,0,160
2024-03-02 20:10:00,23,5,16,5,0,0,22,6,24,8,19,5,2,3,2,1,141
2024-03-02 20:20:00,30,8,25,1,0,0,20,3,14,8,11,6,1,2,2,0,131
2024-03-02 20:30:00,33,7,19,2,0,0,17,5,17,4,16,3,3,3,1,0,130
2024-03-02 20:40:00,36,8,21,4,0,0,24,3,7,6,6,3,1,4,1,0,124
2024-03-02 20:50:00,21,5,16,2,0,0,20,4,16,3,18,2,1,1,0,0,109
2024-03-02 21:00:00,17,7,12,6,0,0,20,12,8,4,9,2,4,2,2,0,105
2024-03-02 21:10:00,26,4,20,3,0,0,25,7,18,7,16,6,3,1,1,0,137
2024-03-02 21:20:00,26,5,19,6,0,0,20,2,7,6,9,2,2,3,2,0,109
2024-03-02 21:30:00,21,7,21,1,0,0,14,2,8,8,11,7,2,5,2,1,110
2024-03-02 21:40:00,17,13,15,6,0,0,13,2,12,0,16,0,0,2,0,0,96
2024-03-02 21:50:00,18,5,19,4,0,0,24,3,10,6,13,4,1,4,1,0,112
2024-03-02 22:00:00,15,3,16,1,0,0,20,2,11,5,13,1,0,0,0,0,87
2024-03-02 22:10:00,30,7,19,4,0,0,19,1,7,6,8,4,2,1,2,0,110
2024-03-02 22:20:00,26,4,16,2,0,0,14,1,3,11,7,5,2,2,3,0,96
2024-03-02 22:30:00,19,4,19,3,0,0,19,5,6,2,5,2,0,0,0,0,84
2024-03-02 22:40:00,22,4,19,2,0,0,14,2,5,6,7,8,0,2,0,0,91
2024-03-02 22:50:00,27,6,15,4,0,0,28,3,5,4,9,3,0,0,0,0,104
2024-03-02 23:00:00,29,6,16,1,0,0,20,1,3,6,6,5,2,3,4,2,104
2024-03-02 23:10:00,17,4,17,3,0,0,15,3,4,1,7,1,1,0,1,0,74
2024-03-02 23:20:00,8,3,11,3,0,0,26,2,3,4,6,4,0,3,0,1,74
2024-03-02 23:30:00,15,3,13,1,0,0,17,1,8,2,9,1,1,3,1,0,75
2024-03-02 23:40:00,14,2,11,1,0,0,16,2,4,4,5,4,2,2,2,0,69
2024-03-02 23:50:00,17,3,13,0,0,0,13,0,3,1,4,1,2,3,2,2,64
2024-03-03 00:00:00,11,5,10,1,0,0,17,1,5,4,4,1,1,1,1,0,62
2024-03-03 00:10:00,25,1,18,0,0,0,8,2,2,2,3,2,2,3,2,0,70
2024-03-03 00:20:00,14,2,10,2,0,0,7,3,6,1,9,1,0,0,0,0,55
2024-03-03 00:30:00,11,4,7,1,0,0,16,4,4,5,6,2,1,0,2,0,63
2024-03-03 00:40:00,17,3,16,2,0,0,6,4,3,3,5,2,0,1,0,1,63
2024-03-03 00:50:00,13,1,11,0,0,0,11,0,8,3,10,2,1,1,1,0,62
