datetime,D51Z,D52Z,V51Z,D111Z,V111Z,D112Z,Total
2024-03-03 16:20:00,41,59,25,43,26,32,226
2024-03-03 16:30:00,45,49,32,38,33,38,235
2024-03-03 16:40:00,44,42,32,43,34,46,241
2024-03-03 16:50:00,49,54,39,51,31,49,273
2024-03-03 17:00:00,45,40,36,44,33,45,243
2024-03-03 17:10:00,41,42,24,51,33,49,240
2024-03-03 17:20:00,42,46,31,45,23,42,229
2024-03-03 17:30:00,46,47,35,31,25,30,214
2024-03-03 17:40:00,49,51,35,34,23,37,229
2024-03-03 17:50:00,28,28,18,36,25,39,174
2024-03-03 18:00:00,41,40,25,38,27,32,203
2024-03-03 18:10:00,36,38,25,28,21,28,176
2024-03-03 18:20:00,53,53,25,35,26,38,230
2024-03-03 18:30:00,42,37,35,36,37,38,225
2024-03-03 18:40:00,28,31,20,27,29,26,161
2024-03-03 18:50:00,35,39,32,26,29,30,191
2024-03-03 19:00:00,32,32,21,31,27,35,178
2024-03-03 19:10:00,29,33,24,34,34,31,185
2024-03-03 19:20:00,35,36,30,31,28,30,190
2024-03-03 19:30:00,36,37,30,37,33,37,210
2024-03-03 19:40:00,30,29,22,26,21,25,153
2024-03-03 19:50:00,29,28,21,25,25,25,153
2024-03-03 20:00:00,27,25,27,27,20,27,153
2024-03-03 20:10:00,32,31,33,23,18,22,159
2024-03-03 20:20:00,24,28,20,34,26,34,166
2024-03-03 20:30:00,32,31,26,17,18,18,142
2024-03-03 20:40:00,22,23,22,29,28,31,155
2024-03-03 20:50:00,27,28,17,24,18,23,137
2024-03-03 21:00:00,25,22,19,12,8,12,98
2024-03-03 21:10:00,21,23,20,14,19,13,110
2024-03-03 21:20:00,20,19,19,12,12,15,97
2024-03-03 21:30:00,16,16,11,23,26,23,115
2024-03-03 21:40:00,34,29,21,19,17,17,137
2024-03-03 21:50:00,17,18,14,14,12,16,91
2024-03-03 22:00:00,20,23,17,17,14,17,108
2024-03-03 22:10:00,21,23,20,10,9,10,93
2024-03-03 22:20:00,23,21,17,13,12,11,97
2024-03-03 22:30:00,14,15,14,10,12,10,75
2024-03-03 22:40:00,12,12,11,5,3,5,48
2024-03-03 22:50:00,19,19,14,9,8,8,77
2024-03-03 23:00:00,6,7,5,14,19,11,62
2024-03-03 23:10:00,12,13,15,1,1,1,43
2024-03-03 23:20:00,10,8,9,10,11,11,59
2024-03-03 23:30:00,8,10,9,4,6,7,44
2024-03-03 23:40:00,6,6,6,8,6,8,40
2024-03-03 23:50:00,8,8,6,7,5,7,41
2024-03-04 00:00:00,6,4,3,7,8,7,35
2024-03-04 00:10:00,4,4,7,0,0,0,15
2024-03-04 00:20:00,6,8,7,5,4,4,34
2024-03-04 00:30:00,6,2,1,8,9,8,34
2024-03-04 00:40:00,1,2,2,3,4,3,15
2024-03-04 00:50:00,5,4,5,4,5,4,27
2024-03-04 01:00:00,5,4,6,2,2,2,21
2024-03-04 01:10:00,0,0,0,3,3,3,9
2024-03-04 01:20:00,4,4,5,5,6,5,29
2024-03-04 01:30:00,3,2,1,5,7,5,23
