datetime,D11Z,D12Z,D13Z,D14Z,D15Z,D21Z,D22Z,D31Z,D32Z,D33Z,D34Z,D35Z,D36Z,D37Z,D41Z,D42Z,D43Z,Total
2024-03-02 15:40:00,13,13,32,42,22,21,23,27,37,14,38,17,8,19,46,43,13,428
2024-03-02 15:50:00,19,17,31,35,33,27,33,34,54,19,64,19,19,22,36,37,16,515
2024-03-02 16:00:00,20,18,38,47,23,19,24,28,43,14,39,23,13,24,43,25,25,466
2024-03-02 16:10:00,19,22,30,35,23,21,25,29,51,21,47,26,13,28,44,38,14,486
2024-03-02 16:20:00,14,13,32,39,25,20,22,25,48,16,49,36,8,31,41,170,18,607
2024-03-02 16:30:00,24,12,42,44,16,23,20,24,48,24,55,19,12,17,58,48,16,502
2024-03-02 16:40:00,15,20,32,44,32,13,30,33,53,16,55,23,11,23,50,39,15,504
2024-03-02 16:50:00,14,16,31,38,23,10,23,23,58,11,56,24,12,19,50,36,13,457
2024-03-02 17:00:00,21,16,31,41,27,16,27,31,57,20,53,28,13,28,52,39,17,517
2024-03-02 17:10:00,23,17,36,41,22,11,21,27,56,16,54,25,10,25,53,54,17,508
2024-03-02 17:20:00,16,12,54,64,16,16,24,17,58,14,56,31,8,35,58,45,16,540
2024-03-02 17:30:00,19,13,42,48,25,9,29,27,71,13,71,42,1,39,52,36,14,551
2024-03-02 17:40:00,16,8,47,53,20,13,21,24,76,12,76,45,0,44,60,57,15,587
2024-03-02 17:50:00,20,22,53,62,21,12,19,24,83,18,88,49,2,36,62,53,13,637
2024-03-02 18:00:00,15,14,41,53,28,11,34,31,84,16,87,49,0,33,57,45,11,609
2024-03-02 18:10:00,17,13,45,63,21,13,19,18,90,7,81,49,0,43,56,45,13,593
2024-03-02 18:20:00,13,14,36,53,19,23,20,26,72,22,76,48,2,52,44,37,29,586
2024-03-02 18:30:00,19,13,32,40,28,34,27,27,57,17,63,40,0,43,63,52,15,570
2024-03-02 18:40:00,12,14,40,48,26,29,38,27,60,25,62,30,8,21,58,50,48,596
2024-03-02 18:50:00,25,18,33,41,18,20,87,20,73,29,75,25,13,25,62,49,33,646
2024-03-02 19:00:00,33,14,33,37,24,27,22,22,56,18,63,27,8,28,48,34,26,520
2024-03-02 19:10:00,38,30,24,30,22,45,23,28,52,27,45,19,8,27,42,35,29,524
2024-03-02 19:20:00,30,15,24,28,24,41,24,27,46,23,56,38,11,30,38,36,33,524
2024-03-02 19:30:00,22,21,18,30,21,30,24,21,49,29,47,19,12,24,52,38,35,492
2024-03-02 19:40:00,13,21,21,22,20,35,22,23,44,29,53,26,24,20,38,41,25,477
2024-03-02 19:50:00,18,20,24,36,20,29,31,23,44,27,51,25,29,24,49,33,39,522
2024-03-02 20:00:00,22,12,33,28,15,17,16,16,38,16,42,15,18,13,29,32,37,399
2024-03-02 20:10:00,34,13,22,33,13,22,12,13,32,30,36,18,23,17,44,31,24,417
2024-03-02 20:20:00,17,25,24,21,15,38,19,20,31,33,32,10,16,13,37,27,35,413
2024-03-02 20:30:00,22,24,18,24,20,29,18,17,26,35,29,13,16,6,37,35,25,394
2024-03-02 20:40:00,18,12,16,21,21,27,22,19,26,33,29,12,15,12,33,17,33,366
2024-03-02 20:50:00,17,18,24,22,9,20,10,11,21,28,25,11,22,10,33,24,23,328
2024-03-02 21:00:00,21,22,24,26,17,28,17,17,27,26,30,13,15,12,28,16,33,372
2024-03-02 21:10:00,13,19,20,17,7,12,11,8,22,25,24,16,18,14,28,14,27,295
2024-03-02 21:20:00,17,16,24,20,8,27,14,11,20,27,24,17,23,16,27,23,32,346
2024-03-02 21:30:00,14,20,23,23,9,25,14,14,14,17,15,11,20,12,30,17,29,307
2024-03-02 21:40:00,11,19,21,16,16,20,15,13,24,30,25,11,16,11,24,13,27,312
2024-03-02 21:50:00,14,25,19,29,12,24,53,14,18,17,23,12,26,11,28,17,29,371
2024-03-02 22:00:00,16,18,20,26,4,21,12,5,14,24,14,10,16,9,25,19,35,288
2024-03-02 22:10:00,22,21,23,20,6,28,12,8,21,27,23,15,22,16,26,17,31,338
2024-03-02 22:20:00,17,17,30,35,10,35,129,12,15,15,13,18,31,15,27,14,27,460
2024-03-02 22:30:00,11,22,29,33,6,18,536,7,16,27,19,20,26,16,23,15,27,851
2024-03-02 22:40:00,22,26,30,26,9,26,12,10,17,39,18,9,13,9,14,13,20,313
2024-03-02 22:50:00,19,16,23,28,12,35,23,13,22,39,20,7,12,8,24,46,30,377
