datetime,D11Z,D12Z,D13Z,V111Z,V121Z,V131Z,D21Z,D22Z,D23Z,D24Z,D25Z,V211Z,V221Z,V231Z,V232Z,V311Z,D41Z,D42Z,D43Z,V411Z,V421Z,V431Z,D51Z,D52Z,D53Z,V511Z,V521Z,V531Z,V532Z,Total
2024-03-02 01:20:00,4,3,4,5,2,3,3,456,1,3,3,1,3,2,2,0,0,5,9,6,6,10,5,2,0,4,10,2,5,559
2024-03-02 01:30:00,8,5,9,5,2,3,5,264,3,6,4,5,6,5,5,0,0,3,4,4,3,4,7,2,0,6,1,4,8,381
2024-03-02 01:40:00,4,2,4,2,1,2,4,718,1,3,3,1,3,4,3,0,2,7,7,6,8,2,5,2,1,3,1,1,6,806
2024-03-02 01:50:00,3,8,1,8,3,4,1,496,0,1,2,0,1,2,0,0,0,2,1,3,2,6,0,0,2,1,2,4,1,554
2024-03-02 02:00:00,4,10,5,12,1,1,5,341,1,6,1,1,5,2,2,0,0,2,1,3,2,4,4,3,1,0,1,0,0,418
2024-03-02 02:10:00,6,6,5,7,1,1,4,974,0,6,2,0,5,2,0,0,0,3,1,4,1,1,5,3,1,0,1,2,0,1041
2024-03-02 02:20:00,4,8,8,8,3,3,3,277,4,3,4,5,3,4,9,0,0,1,6,0,5,8,4,2,1,1,4,2,1,381
2024-03-02 02:30:00,2,8,2,9,1,0,0,354,1,0,1,2,0,1,2,0,0,3,3,5,2,3,0,0,2,1,1,2,1,406
2024-03-02 02:40:00,2,7,3,6,3,4,5,366,0,7,2,0,5,1,0,0,0,3,2,4,0,5,11,5,3,1,3,1,2,451
2024-03-02 02:50:00,3,2,3,2,3,4,9,918,1,7,2,0,9,1,1,0,0,5,7,6,11,5,2,2,2,1,2,1,2,1011
2024-03-02 03:00:00,4,4,5,3,2,3,2,1082,2,2,3,2,2,3,3,0,0,2,5,3,4,3,2,2,0,1,1,0,1,1146
2024-03-02 03:10:00,4,0,7,0,1,1,2,629,2,3,2,0,2,2,0,0,0,1,2,1,1,2,3,2,2,2,2,3,2,678
2024-03-02 03:20:00,3,4,2,4,2,3,1,10,1,2,0,0,1,0,0,0,0,6,3,5,2,4,4,3,2,2,2,4,2,72
2024-03-02 03:30:00,3,1,3,1,0,0,3,205,1,3,2,1,3,1,0,0,0,0,0,0,0,3,4,4,0,3,1,0,3,245
2024-03-02 03:40:00,9,5,8,5,2,3,2,192,3,3,6,2,2,6,3,0,0,3,2,5,2,3,3,3,0,4,1,2,6,285
2024-03-02 03:50:00,3,3,5,2,1,1,1,283,2,1,1,2,1,1,3,1,1,3,2,3,1,3,3,2,1,3,1,3,3,340
2024-03-02 04:00:00,2,4,3,5,1,1,3,150,0,3,0,0,3,0,0,0,0,1,2,1,3,18,6,4,2,3,3,0,3,221
2024-03-02 04:10:00,2,3,3,3,0,0,5,580,0,6,4,0,5,2,0,0,0,2,3,1,2,2,3,4,1,0,0,1,0,632
2024-03-02 04:20:00,2,2,3,6,2,1,3,611,1,2,2,1,3,1,2,0,0,1,1,1,1,3,4,3,2,1,1,2,1,663
2024-03-02 04:30:00,1,1,1,0,1,1,3,166,3,3,4,2,3,5,2,1,1,1,3,2,4,2,5,2,2,0,2,2,0,223
2024-03-02 04:40:00,3,5,4,5,1,3,1,267,1,1,1,1,1,1,1,0,0,1,0,1,0,2,3,39,1,0,1,2,0,346
2024-03-02 04:50:00,1,1,0,2,3,3,10,410,0,12,1,0,10,1,0,0,0,0,0,0,0,2,2,2,0,2,0,0,2,464
2024-03-02 05:00:00,2,2,3,2,1,1,4,1364,0,2,4,0,4,1,0,0,0,1,2,1,3,4,5,3,1,2,3,0,2,1417
2024-03-02 05:10:00,2,1,4,3,3,3,6,212,0,4,4,0,6,2,0,1,0,2,3,3,0,5,10,5,1,1,4,3,1,289
2024-03-02 05:20:00,3,2,5,3,0,0,13,1396,1,11,2,1,13,3,0,1,2,6,5,6,5,1,3,2,3,0,1,4,0,1492
2024-03-02 05:30:00,5,2,6,3,3,4,7,969,0,6,1,0,7,1,0,0,0,3,1,3,1,1,3,2,1,2,0,1,3,1035
2024-03-02 05:40:00,4,5,7,7,2,4,11,698,0,11,1,0,12,1,0,1,0,0,0,0,0,2,9,4,3,0,2,5,0,789
2024-03-02 05:50:00,2,1,4,1,0,0,2,2099,0,1,4,0,2,2,0,1,0,1,2,1,1,13,15,10,2,1,5,2,1,2173
2024-03-02 06:00:00,3,5,3,9,1,2,10,345,0,12,2,1,10,2,0,1,1,0,0,0,0,5,5,4,0,2,3,0,2,428
2024-03-02 06:10:00,8,2,7,2,3,3,8,271,3,9,5,2,8,5,5,1,0,1,2,1,1,2,7,6,2,2,0,1,2,369
2024-03-02 06:20:00,7,3,8,5,5,5,10,195,5,7,7,4,10,7,7,0,0,2,1,2,1,3,6,4,3,2,0,3,2,314
2024-03-02 06:30:00,7,4,6,5,1,1,5,264,2,7,4,2,5,4,4,1,2,4,4,3,5,5,10,3,3,1,4,3,0,369
2024-03-02 06:40:00,4,6,6,7,1,2,4,47,0,5,0,0,4,0,0,1,0,4,3,7,4,6,13,8,3,3,5,3,3,149
2024-03-02 06:50:00,7,8,9,12,2,3,10,598,1,9,10,2,12,9,3,1,1,8,7,4,7,7,10,10,5,5,7,4,5,776
