datetime,D21Z,D22Z,V23Z,V24Z,D81Z,D82Z,V83Z,V84Z,D111Z,D112Z,V113Z,V114Z,D115Z,Total
2024-03-03 06:20:00,4,5,4,11,3,16,5,9,22,1,5,3,0,88
2024-03-03 06:30:00,12,3,11,4,5,5,5,5,0,1,0,1,0,52
2024-03-03 06:40:00,4,1,7,1,6,2,9,3,1,4,1,5,0,44
2024-03-03 06:50:00,11,3,7,5,3,3,2,3,1,6,1,8,0,53
2024-03-03 07:00:00,4,2,3,2,3,6,3,4,0,3,0,5,0,35
2024-03-03 07:10:00,9,3,7,3,1,2,1,1,5,2,3,4,0,41
2024-03-03 07:20:00,6,1,5,1,1,2,1,2,2,1,2,2,0,26
2024-03-03 07:30:00,6,1,6,1,1,5,1,5,2,2,2,4,0,36
2024-03-03 07:40:00,7,6,5,6,4,3,6,2,3,6,4,7,0,59
2024-03-03 07:50:00,9,3,7,3,7,6,6,3,6,1,7,6,0,64
2024-03-03 08:00:00,8,6,7,6,5,5,7,5,1,2,1,4,0,57
2024-03-03 08:10:00,8,3,7,2,4,10,3,9,1,0,1,1,0,49
